issueId,body
342915204,what can it be used for?web mobile desktop and other apps to refer to auth service whats missing image example image optional)! image checklist x this is a single icon x the title starts with icon request and is followed by the requested icon name ex icon request magical-unicorn x i have searched for existing issues and to the best of my knowledge this is not a duplicate x i have included at least one example image if it could be helpful x the request is for a concrete object its harder to make an icon to represent happiness its easier to make a smiley face
312386679,what can it be used for? matrix (matrix.org is an open network for secure decentralized communication it is growing quite fast and has a lot of potential there are icons for telegram fa-telegram whatsapp fa-whatsapp facebook messenger fa-facebook-messenger matrix needs one example image optional icon request checklist x this is a single icon or matched pair ex lock unlock x the title starts with icon request and is followed by the requested icon name ex icon request magical-unicorn x i have searched for existing issues and to the best of my knowledge this is not a duplicate x i have included at least one example image if it could be helpful optional x the request is for a concrete object its harder to make an icon to represent happiness its easier to make a smiley face
305419028,we encounter an error when installing fontawesome-common-types with yarnan unexpected error occurred connect econnrefused
304758162,is a great platform which i have been using more frequently in the last couple of months it has great articles and great discussions
302163106,google recently released google pay a merge of android pay and google wallet i assume this would replace the google wallet icon this would go alongside fa-apple-pay and fa-amazon-pay! google-pay
301063579,hey could you guys add this icon font to your awesome list. kenesis can it be used for? website branding.we work with a web development software called kenesis much like wordpress and as it is growing we find ourselves in need of an icon that can be used to display on sites that they are kenesis websites and as font awesome is so widely know we thought that if it were on font awesome other resellers of kenesis could also use this icon.thank you font awesome example image if you need the svg image dont hesitate to ask.! kenesis favi final in square
294151036,this pr adds mastodon icons to the set fa-mastodon fa-mastodon-altas your contributing document suggest you are not accepting pr for icons anymore.but please consider this one for multiple reasons the issue has gathered more than upvotes the mastodon federated social network has registered accounts the icons display well in the set see screenshots below)ill be happy to update and correct this pr so that it can be included in the next release.thank you for you consideration and the nice set youve been providing us for years.! screenshot fa-mastodon font awesome icons fa-mastodon-alt font awesome icons
293322887,would be nice to have a brands icon for the brave browser! brave_icon_shadow_px
284899199,please could we have an icon for manton reeces new micro.blog?! micro
284089065,im receiving the following error when trying to ssr with fontawesome: cannot read property doscroll of undefinedas node_modules/@fortawesome/fontawesome/index.js:: looks like this line is being executed when document is undefined: var loaded document.documentelement.doscroll loaded|^c loaded|^i|^c/).test(document.readystate
282294120,is there a way to use font-awesome with bower or npm?i didnt find an answer to that in the docs maybe i missed it
281620682,turbolinks compatibility is something id love to have with the svg version of fa right now i have hacked together a solution that works alright but each new pageview flickers with the icons being rendered and i was curious if thered be a smoother way for handling this include turbolinks include svg-with-js library for fa add the following to re-run fa each new turbolinks pageview jsdocument.addeventlistener(turbolinks:load function fontawesome.dom.isvg();}); this works well but produces a noticeable flicker going back and forth between pages while the javascript replaces tags on the page with their svg equivalents is there any better way we can do this
280754801,it would be nice to have an icon for typescript microsofts superset of javascript general usage i couldnt say much past the fact that i personally use the icon on information pages when talking about what tools i use for projects.thank you
279830500,"hello community,i would like to request a brand icon for the website degreed.com to so it can be used on people portfolios the website degreed.com is used for people to keep track of the learning they do online and be able to present it to potential employers showing what they have been studying reading videos they have been watching to help further the learning people have done out side of regular school settings in short it allows a person to find track and measure all your learning.here are two logos as a sample in png and in jpg)! degreed full url is tagliala please find attached a svg image already created for font-awesome provided by jessmhamilton jess huang product designer from degreed thank you jess! fa-degreed.svg.zip you"
