issueId,body
321725258,this patch introduces browser contexts and methods to manage them browser.createincognitobrowsercontext to create new incognito context browser.browsercontexts to get all existing contexts browsercontext.dispose to dispose incognito context.fixes
315664195,i would like to officially open an issue for st class support of running puppeteer in aws lambda i know in the troubleshooting doc it says it is not possible and that there are community work arounds however it would be especially awesome if as a community we could build support for aws lambda and puppeteer right here in this repository if this is not on the roadmap and never will be feel free to close this issue if not than lets put our brains together and brainstorm!!!you guys are the best
313671226,hey after using puppeteer for a little while now in a number of different scenarios ssr automated testing a common piece of functionality that often came up as needed or at very minimum a nice to have was the ability to wait for a specific network request to be made or alternatively for a specific network response to come back as a result i propose the addition of the following two functions. javascriptpage.waitforrequest match options match string a regular expression to match against the request url options object optional parameters method string|array either a single http request method get post etc as a string or an array of values get post defaults to all http request methods timeout number maximum time to wait in millisecondsand additionally javascriptpage.waitforresponse match options ) with a similar set of options id probably also additionally add support for filtering by response code. an example javascriptawait page.waitforrequest https?://example.com/(users|companies method post happy to submit a pr if you all think its a worthwhile addition!thanks
312146778,this patch introduces page.setbypasscsp method that allows clientsto ignore content-security-policy for a given page.fixes
309406293,"im currently encountering some potential rounding issues with the pdf page size where i have to use an additional few ths of a millimetre on the width and height for the pages the page s declaration in my css and also the css height of my section s to render mostly correctly.even after adding the extra mm to cover the issue the width then increases by about mm on either side of the page only when puppeteer is used to generate the pdf but not when printed as pdf directly from my local chrome the removal of the additional mm breaks the layout in both local chrome and puppeteer rendered pdfs.possibly similar issue to tell us about your environment puppeteer version platform os version macos urls if applicable node.js version what steps will reproduce the problem? jsconst puppeteer require(puppeteer);const fs require(fs);const delta closest additional mm to not break layout(async let browser try browser await puppeteer.launch headless true args no-sandbox disable-setuid-sandbox disable-gpu hide-scrollbars disable-web-security const page await browser.newpage await page.goto data:text/html,${fs.readfilesync(index.html).tostring(utf await page.pdf path index.pdf displayheaderfooter false printbackground true pageranges height delta mm additional page margins of mm width delta mm additional page margins of mm margin top right bottom left await browser.close catch err if browser await browser.close throw err node index.js open pdf open html file directly in chrome browser print as pdf compare may have to zoom in to see). what is the expected result? pdf should not have any margin/whitespace on the page edges. what happens instead? there is a horizontal page gap on either side of each page of about mm.should not need to use any additional mm adjustment raw sizes should render as expected"
303932442,step are you in the right place for general technical questions or how to guidance please search stackoverflow for questions tagged puppeteer or create a new post for issues or feature requests related to the devtools protocol file an issue there problem in headless chrome file an issue against chromiums issue tracker issues feature requests or setup troubles with puppeteer file an issue right here steps to reproduce tell us about your environment puppeteer version not installed platform os version winx urls if applicable node.js version what steps will reproduce the problem? i ran npm install save-dev puppeteer and get a error message as follows: error failed to download chromium r set puppeteer_skip_chromium_download env variable to skip download error self signed certificate in certificate chain at tlssocket.
303596069,steps to reproduce puppeteer version platform os version windows version build node.js version v.. what steps will reproduce the problem? first i setup a basic test page like this: jsxconst browser await puppeteer.launch({ignorehttpserrors true})const page await browser.newpage()await page.setcontent( test page )const pdf await page.pdf format letter printbackground true headertemplate headertemplate displayheaderfooter true margin top in right in bottom in left in await browser.close() the headertemplate looks like this: jsxconst headertemplate div style=font-size px display flex flex-direction row justify-content space-between width id=template div class=pagenumber id=num style=font-size px;>page number what is the expected result? the docs dont mention whether or not script tags are supported in the header and footer templates i would expect then that the code above would render a header with a red background and remove the page number node the code above was just for testing purposes). what happens instead? the script appears not to evaluate instead the resulting pdf has no background and a page number div.if evaluating scripts in these templates is not supported might i suggest updating the pdf section of the docs to state as much thanks for all the hard work the puppeteer team has put into this project
303505229,steps to reproduce tell us about your environment puppeteer version puppeteer platform os version manjaro linux with linux node.js version v.. what steps will reproduce the problem? this fails on the example.js from the getting started section: javascriptconst puppeteer require(puppeteer);(async const browser await puppeteer.launch const page await browser.newpage await page.goto await page.screenshot({path example.png await browser.close run node example.js what is the expected result? i believe it should use the namespace sandbox since my kernel is well above what happens instead? heres the console output: (node unhandledpromiserejectionwarning error failed to launch chrome! /.:fatal:zygote_host_impl_linux.cc no usable sandbox update your kernel or see for more information on developing with the suid sandbox if you want to live dangerously and need an immediate workaround you can try using no-sandbox xdeaec base::debug::stacktrace::stacktrace xde logging::logmessage::~logmessage xddcf content::zygotehostimpl::init xddcb content::browsermainloop::earlyinitialization xddcda content::browsermainrunnerimpl::initialize xdf headless::headlesscontentmaindelegate::runprocess xdeb content::runnamedprocesstypemain xdebab content::contentmainrunnerimpl::run xdebdd service_manager::main xdeb content::contentmain xdf headless::(anonymous namespace)::runcontentmain xdae headless::headlessbrowsermain xdebac headless::headlessshellmain xdcdac chromemain xfbfa libc_start_main xdcdaa startreceived signal xdeaec base::debug::stacktrace::stacktrace xdea base::debug::(anonymous namespace)::stackdumpsignalhandler xfbbfdd unknown xfb gi_raise xfbec gi_abort xdeee base::debug::breakdebugger xdebbb logging::logmessage::~logmessage xddcf content::zygotehostimpl::init xddcb content::browsermainloop::earlyinitialization xddcda content::browsermainrunnerimpl::initialize xdf headless::headlesscontentmaindelegate::runprocess xdeb content::runnamedprocesstypemain xdebab content::contentmainrunnerimpl::run xdebdd service_manager::main xdeb content::contentmain xdf headless::(anonymous namespace)::runcontentmain xdae headless::headlessbrowsermain xdebac headless::headlessshellmain xdcdac chromemain xfbfa libc_start_main xdcdaa start r r ffdfab r r r ffdfab r r ffdfac r ffdfa di si ffdfab bp ffdfa bx dx ax cx fb sp ffdfab ip fb efl cgf b erf trp msk cr end of stack trace calling exit core file will not be generated.troubleshooting at onclose home/megadyne/myapp/fixpuppeteer/node_modules/puppeteer/lib/launcher.js at interface.helper.addeventlistener home/megadyne/myapp/fixpuppeteer/node_modules/puppeteer/lib/launcher.js at interface.emit events.js at interface.close readline.js at socket.onend readline.js at socket.emit events.js at endreadablent stream_readable.js at process._tickcallback internal/process/next_tick.js::)(node unhandledpromiserejectionwarning unhandled promise rejection this error originated either by throwing inside of an async function without a catch block or by rejecting a promise which was not handled with catch rejection id node dep deprecationwarning unhandled promise rejections are deprecated in the future promise rejections that are not handled will terminate the node.js process with a non-zero exit code
299534507,these are the breaking changes wed like to have for v set initial viewport size to x make browser.disconnect async sockets dont close instantly make page.evaluate to throw for the non-serializable values e.g objects with circular references refactor response.securitydetails into response.certificate and actually include certificate data consider switching to pipes instead of websocket connection by default consider dropping node support consider renaming waitforselector s visible option into interactable since we also have a real visibility with intersectionobserver consider passing calling frame as the first argument to the function exposed via page.exposefunction
292867350,steps to reproduce tell us about your environment puppeteer version platform os version puppeteer docker urls if applicable node.js version what steps will reproduce the problem? its really hard to know what is causing the issue.im running the test in docker with this command: docker run i rm cap-add=sys_admin memory=g v hostdir:$clientdir web-puppeteer bin/bash clientdir/script.sh with script.sh being just npm i and npm t which runs karma with puppeteer as a browser heres the custom browser config: chromeheadlesscustom base chromeheadless flags no-sandbox disable-setuid-sandbox disable-gpu disable-dev-shm-usage i thought the issue was because of a memory issue so i increased it but it doesnt seem to resolve it what is the expected result? running a karma test suite with puppeteer shouldnt cause any issues what happens instead? chromeheadless crashes with this error: build jan  m error launcher  mchromeheadless crashed.build jan error:gpu_process_transport_factory.cc lost ui shared context
