issueId,body
345562783,adds typescript support.closes closes the user just needs to rename js to tsx and create a tsconfig.json file.they can optionally create a tslint.json file as well and it will be detected automatically.type checking happens using fork-ts-webpack-plugin .someone please review try it out and let me know how it could improve includes x make typescript work x bump babel due to flow conflict errors and other typescript fixes they made x support ts and tsx file extensions x add typescript option to react-app babel preset which enables babel/preset-typescript x nice to have x support flow or typescript automatically by detecting flowconfig and tsconfig.json x prevent enabling both flow and typescript in the same project x validate types and show output on console x tslint support x supports tsconfig.prod.json and tslint.prod.json x support for svg png and jpg imports x update docs pending improvements for some reason it only shows one typescript error at a time optional create a tslint-config-react-app preset based on eslint-config-react-app screenshots tstype testtype a bconst x testtype image how to try this pr while its not merged git clone git@github.com:brunolemos/create-react-app.git cd create-react-app yarn cd packages/react-scripts yarn link cd your/projects/folder npx create-react-app@next scripts-version=..-next.e app-name cd app-name yarn link react-scripts follow the steps from the readme adding typescript yarn start have fun with types
324726210,thanks to some titanic efforts from andriijas bugzpodder and others we finally have webpack in master hopefully ci will pass.lets use this task to keep track of followup things to do at the very least this looks suboptimal to me:
320529676,"hey there i was recently thinking about a way to keep cra zero-config to begin with but also allow it to grow/override if/when needed css-modules typescript lqip etc etc)my proposal would be to have a file at root level called react-scripts.config.js in which the template would look a bit like this: jsmodule.exports devconfig config webpack config productionconfig config webpack config serverconfig config webpack config,} in all of those cases they would take a function with the first argument being the opinionated config from cra and a second optional argument which would be the same webpack used for whatever script being used for plugins or whatever)so now the user can tweak that config or even make another one remembering that in the end he has to return a config object for webpack to consume.now on the scripts code we can run fs.existsfilesync to check for that file and then to check if the object has that prop which we care for depending on the case eg on start script check for either devconfig or serverconfig so now we can do something like: js react-scripts/scripts/start.js for example defaultconfig would be the one living on react-scripts/config/webpack.config.dev.js for example const userconfig path.join(process.cwd react-scripts.config.js const hascustomconfig existssync(userconfig require(userconfig).devconfig const config hascustomconfig require(userconfig).devconfig(defaultconfig webpack defaultconfig rest of normal code this would make it still be zero-config but extendable that way users dont have to choose between no freedom or all the freedom but rather get the right amount of freedom without losing on updates or forking the package.does this has potential lmk and i could work on a pr to make this happen i dont think its a really big change on the codebase to achieve.cheers and thanks to everyone for this awesome package."
318054408,please read the first section is this a bug report?not exactly unless module incompatibility counts as a bug environment node v npm v yarn version if you use yarn npm ls react-scripts if you havent ejected n/a install is failing)then specify operating system windows browser and version if relevant steps to reproduce how would you describe your issue to someone who doesnt know you or your project try to write a sequence of steps that anybody can repeat to see the issue.-->(write your steps here install node v run create-react-app await the error expected behavior how did you expect the tool to behave its fine if youre not sure your understanding is correct just write down what you thought would happen.-->i was hoping for a nice clean install of the base project actual behavior did something go wrong is something broken or not behaving as you expected please attach screenshots if possible they are extremely helpful for diagnosing issues.-->install failed:! image
316531081,the create-react-library npm module is a cli for easily publishing modern react libraries its meant as the library equivalent of create-react-app and developer feedback thus far has been excellent.in particular it uses cra for example usage and local module development modules are bundled via rollup+babel to generate commonjs and es module formats.i was wondering if the core react team would consider giving feedback on the create-react-library project and possibly endorsing it as a sister of create-react-app .fwiw i also work at facebook.
307409050,opt-in support for sass and css-modules using sass files added using both scss and sass extensions.this pr installs sass-loader in the react-scripts package adds webpack configuration to allow importing scss/sass directly into components during development supporting also the use of css-modules adds webpack configuration for bundling scss/sass files into the optimized production build supporting also the use of css-modules css-modules in sass are supported in a similar way than using purely css which in this case is naming sass files as module.scss or module.sass.~no automated test just yet coming in a couple days however ive manually tried the ee flow using both scss and sass extensions with or without modules and it worked just fine.~~edit white_check_mark unit and integration tests added!~this pr depends on to work properly white_check_mark merged and integrated!ill be happy to get comments edit andriijas mentioned that we should use react-dev-utils/getcssmodulelocalident when is merged for the localidentname white_check_mark merged and integrated
304493955,zero-config typescript with babel as mentioned in several other issues with the release of babel and cra typescript support is now possible in a way that does not dramatically change the core of cra internals before proceeding with a pr would love to gather feedback on a solution implementation i came up with over the weekend current behaviortypescript users cannot use cra directly popular alternatives include react-scripts-ts a fork of cra that uses the typescript compiler and microsofts react typescript boilerplate desired behaviorcra works with typescript via babel with zero-config to enable typescript users can just rename src/index.js to src/index.tsx suggested solution remove filename extension from paths.appindexjs i.e src/index.js src/index so it works regardless of js or ts or tsx add ts and tsx to the extensions in webpack config resolve babel loader file-loader and jest config add a usetypescript flag so that this choice is explicit and related babel/preset-typescript package to babel-preset-react-app use the filename extension of paths.appindexjs to determine whether to set the usetypescript flag in webpack babel-loader options and jest babel transformation add documentation about typescript usage areas of interest/discussion/questions alternative ways to determine whether to enable ts should tsconfig.json and tslint.json be zero config probably not should we add built-in type checking with fork-ts-webpack-plugin my vote is against this bonus add tslint-loader to webpack config if in ts mode question can we use eslint-loader with babel ts im not sure if not we should add a minimal tslint-config-react-app package that is congruent with eslint-config-react-app suggested documentationtypescript is a typed superset of javascript that compiles to plain javascript check out this introduction to using static types in javascript if you are new to this concept.recent versions of typescript work with create react app projects out of the box thanks to babel babel typescript does not allow some features of typescript such as constant enum and namespaces you can read more about babel typescript here.to add typescript to a create react app project follow these steps run npm install save typescript types/react types/react-dom or yarn add typescript types/react types/react-dom add type-check tsc to the scripts section of your package.json add a resolutions section to your package.json to avoid conflicting types of react and reactdom in your dependencies: jsonresolutions types/react types/react-dom create a file called tsconfig.json in the root of your project: json compileroptions target esnext specify ecmascript target version es default es es es es or esnext module commonjs specify module code generation none commonjs amd system umd es or esnext jsx react use react to interpret jsx noemit true do not emit outputs allowsyntheticdefaultimports true allow default imports from modules with no default export rename src/index.js to src/index.tsx now you can run npm run type-check or yarn type-check to check the files for type errors you can optionally use an ide like nuclide or vscode for a better integrated experience.to learn more about typescript check out its documentation
303755774,is this a bug report?yes did you try recovering your dependencies?yes npm version which terms did you search for in user guide there are a few common documented problems such as watcher not detecting changes or build failing they are described in the troubleshooting section of the user guide please scan these few sections for common problems additionally you can search the user guide itself for something youre having issues with if you didnt find the solution please share which words you searched for this helps us improve documentation for future readers who might encounter the same problem.-->async js chunks that include css imports cause uncaught in promise typeerror cannot read property call of undefined environment please fill in all the relevant fields by running these commands in terminal node v v npm v yarn version if you use yarn npm ls react-scripts if you havent ejected react-scripts@..then specify operating system ubuntu browser and version if relevant chromium steps to reproduce how would you describe your issue to someone who doesnt know you or your project try to write a sequence of steps that anybody can repeat to see the issue a.js import common b.js import common common.js import common.css;import async.js async import async.js import async.css expected behavior how did you expect the tool to behave its fine if youre not sure your understanding is correct just write down what you thought would happen.-->to have async.css working in an async chunk after running npm run build actual behavior did something go wrong is something broken or not behaving as you expected please attach screenshots if possible they are extremely helpful for diagnosing issues.-->uncaught in promise typeerror cannot read property call of undefined at webpack_require bootstrap d at object async.css at webpack_require bootstrap d at object async.css?eb at webpack_require bootstrap d at object cbe.chunk.js at webpack_require bootstrap d reproducible demowell its a webpack issue in the first place but also happening with cra its described in details here with reproduction steps with a repo to reproduce the error if you can please share a project that reproduces the issue this is the single most effective way to get an issue fixed soon there are two ways to do it create a new app and try to reproduce the issue in it this is useful if you roughly know where the problem is or cant share the real code or copy your app and remove things until youre left with the minimal reproducible demo this is useful for finding the root cause you may then optionally create a new project this is a good guide to creating bug demos once youre done push the project to github and paste the link to it below what happens if you skip this step we will try to help you but in many cases it is impossible because crucial information is missing in that case well tag an issue as having a low priority and eventually close it if there is no clear direction we still appreciate the report though as eventually somebody else might create a reproducible example for it thanks for helping us help you
300720522,support for mjs files added in did not account for npm libraries which ship native mjs files alongside js files this accounts for this by ensuring js files resolve before their accompanying mjs file note that this is not an ideal end state since selecting a mjs over a js extension should be the result of whether import was used instead of require in a node environment with native esm support currently via experimental-modules instead this change just always selects a js extension before the mjs extension if it exists.this unbreaks support for using graphql relay apollo etc within create-react-app projects.
300153426,x update to webpack x.x x utilize webpack development and production modes x upgrade webpack dev server x webpack compatible release of thread-loader x webpack compatible release of htmlwebpackplugin x webpack compatible release of swprecachewebpackplugin x webpack compatible release candidate of webpackmanifestplugin x update readme x update webpackdevserverutils x update interpolatehtmlplugin x update modulescopeplugin x update watchmissingnodemodulesplugin x use optimization.minimizer for custom uglify options x use optimization.splitchunks for vendor splitting x create-react-app polyfills included in vendor chunk x use optimization.runtimechunk for long term caching x remove react-error-overlay is not meant for use in production warning from dev mode by updating webpack config to proxy process.env.node_env from ancestor x replace extracttextplugin with minicssextractplugin x implicit webpack.namedmodulesplugin in dev config as its default in webpack x disable webpack performance hints as we have our own filesize reporter x move interpolatehtmlplugin to make it tapable on htmlwebpackplugin x replace extracttextplugin with minicssextractplugin x switch to css whole file minification via optimizecssassetsplugin rather than per module css minification to gain performancefixes
