issueId,issue_number,url,user,like,dislike,laugh,hooray,confused,heart,body
329202486,14574,https://api.github.com/repos/ionic-team/ionic/issues/14574,dwieeb,2,0,7,4,0,8,lets figure out what needs to be done to achieve ssr in ionic/core and ionic/angular
307901355,14217,https://api.github.com/repos/ionic-team/ionic/issues/14217,rdlabo,11,0,0,0,0,0,this negative margin does not display byte font well short description of what this resolves:if use headline negative margin in ion-list ion-item the top of the letters had disappeared it occur in japanese byte font since ionic version as it become version i expect that this will be fixed.
295610992,13990,https://api.github.com/repos/ionic-team/ionic/issues/13990,kyr0,5,0,15,0,3,0,img width alt=bildschirmfoto um src
286031141,13763,https://api.github.com/repos/ionic-team/ionic/issues/13763,mburger81,48,0,0,0,0,0,ionic version check one with x)(for ionic x issues please use x x x x im submitting a check one with x) x bug report feature requestplease do not submit support requests or how to questions here instead please use one of these channels or behavior: if we build a new app using your blank starter or any other template building the android app we are running into this error sass started witout from option postcss could generate wrong source map or do not find browserslist config set it to css file path or to undefined to prevent this warning sass finished in s expected behavior: the bug message should not be steps to reproduce: create a new blank app using ionic start postcss build the android app doing ionic cordova build android and you can see log with the warn or error message sass started witout from option postcss could generate wrong source map or do not find browserslist config set it to css file path or to undefined to prevent this warning sass finished in ms ionic info run ionic info from a terminal/cmd prompt and paste output below): cli packages usr/lib/node_modules ionic/cli-utils ionic ionic cli global packages cordova cordova cli local packages ionic/app-scripts cordova platforms android ionic framework ionic-angular system android sdk tools node v npm os linux environment variables android_home abcdef/android/sdkmisc backend legacy
285177570,13737,https://api.github.com/repos/ionic-team/ionic/issues/13737,marciusbezerra,12,0,0,0,0,0,"before submitting an issue please consult our troubleshooting guide and developer resources please make sure you are posting an issue pertaining to the ionic framework if you are having an issue with the ionic pro services ionic view ionic deploy etc please consult the ionic pro support portal ionic version check one with x)(for ionic x issues please use x x x x im submitting a check one with x) x bug report feature request current behavior: new ionic new cordova no longer work for debugging with livereload) expected behavior: run normally with cordova in livereload mode steps to reproduce: on a new computer i installed java ant andrioid studio nodejs ionic and cordovaand after everything configured just like the ionic documents i created a new basic app: ionic start myapp tabs the application even runs normally but when i go to debug: ionic cordova run android lc i get the following message: console.warn native tried calling statusbar.styledefault but cordova is not available make sure to include cordova.js or run in a device/simulatorconsole.warn native tried calling splashscreen.hide but cordova is not available make sure to include cordova.js or run in a device/simulator related code: normal code generated by ionics own standard template tabs other information: cli packages c:\users\marci\appdata\roaming\npm\node_modules ionic/cli-utils ionic ionic cli global packages cordova cordova cli local packages ionic/app-scripts cordova platforms android ionic framework ionic-angular system android sdk tools node v npm os windows environment variables android_home d:\androidsdkmisc backend pro cordova requirements: android studio project detectedrequirements check results for android:java jdk installed android sdk installed trueandroid target installed android-,android-,android-,android-,google inc.:google apis:gradle installed c:\program files\android\android studio\gradle\gradle-.\bin\gradle"
273928503,13426,https://api.github.com/repos/ionic-team/ionic/issues/13426,kensodemann,1,0,0,11,0,0,angular router integration an investigation into how to what degree ion-nav ion-tabs
270511547,13310,https://api.github.com/repos/ionic-team/ionic/issues/13310,NgYueHong,28,0,0,0,0,0,angular is out now as ionic will still take some time several months to release hope ionic will be upgraded to support angular
263771608,13078,https://api.github.com/repos/ionic-team/ionic/issues/13078,simonhaenisch,13,0,0,0,0,0,ionic version x x x x im submitting a x bug report feature request current behavior when i have an input in a list item in a form the angular form validation classes for the list item and the input are different e g clicking into an empty required input and not entering anything sets ng-touched for the input but not the list-item clicking into it again updates it for the list-item as well this behavior is different in ionic-angular and ionic-angular@.. .in the field stays untouched/pristine until something is entered so it only becomes touched/dirty and invalid if you enter something and delete it again and leave the field).in after entering and leaving the field without typing anything the input becomes touched but the list-item stays untouched the form is touched as well though clicking in and out again finally makes the list-item untouched as well it gets highlighted as invalid though also see expected behavior the input and the list-item should reflect the same state. related code example for for info: cli packages ionic/cli-utils ionic ionic cli global packages cordova cordova cli local packages ionic/app-scripts cordova platforms android ios ionic framework ionic-angular system ios-deploy node v npm os macos sierra xcode xcode build version amisc backend legacy
261888863,13028,https://api.github.com/repos/ionic-team/ionic/issues/13028,charlierz,16,0,0,1,0,0,ionic version check one with x)(for ionic x issues please use x x x x im submitting a check one with x) x bug report feature request current behavior: when you navigate to another page open and dismiss the keyboard and go back to the previous page the ion-content will be hidden behind the ion-header describe how the bug manifests expected behavior: ion-content not hidden behind the ion-header describe what the behavior would be without the bug steps to reproduce: using the ionic-conference-app with version or of ionic add a text input in session-detail.html.navigate to a session-detail through the schedule page open and dismiss the keyboard with the text input added.go back to the schedule page.you will now see some content is hidden behind the ion-header if you change tabs it will restore please explain the steps required to duplicate the issue especially if you are able to provide a sample application
258487844,12917,https://api.github.com/repos/ionic-team/ionic/issues/12917,masimplo,16,0,0,14,0,14,short description of what this resolves:this is a very extensive refactoring of the virtual-utils file that changes the ways dom nodes are handled aka the bees knees pr instead of deleting the nodes when a dataset change has occured and starting from scratch there is a more surgical approach of reusing existing nodes and creating/disposing nodes very sparingly this leads to great performance gains and takes care of the dreaded flickering effect when data changes.in summary this resolves issues with flickering when data is updated clears dom when data is cleared adds a few optimisations all around changes proposed in this pull request slow path and fast path have similar performance nodes are always reused and removed only if they become orphaned new nodes are created very sparingly when scrolling to the two extremes top/bottom do not dispose of cells that are out of view and recreate them when scrolling backwards initialise virtualtrackby and virtualscroll properties like ngforof does when both are ready to be ready inside ngonchanges replace deprecated trackbyfn with new trackbyfunction
258285069,12908,https://api.github.com/repos/ionic-team/ionic/issues/12908,janpio,10,0,0,1,0,0,v will probably people to change things in their code and package.json it would be the perfect time to also rename the package from ionic-angular to ionic/angular
246333423,12499,https://api.github.com/repos/ionic-team/ionic/issues/12499,antoineol,46,0,0,0,0,0,ionic version check one with x x for ionic x issues please use x x x im submitting a check one with x) x bug report feature request support request please do not submit support requests here use one of these channels or behavior: if we have pages using ionicpage annotation for deep linking we navigate from page to page and click the browser back button it throws an error. error uncaught in promise typeerror e.done is not a functiontypeerror e.done is not a function at e._fireerror at e._failed at it also happens with the android device back button. expected behavior: navigating back and forth with browser buttons work without error same as what we would have by using the app buttons e.g header bar back button). steps to reproduce online demo open dev tool click the button to navigate and click browser back button see the error in the console in dev mode it is also freezing the screen since errors are strongly reported demo app sources on github you can check the code run locally and check the commit for steps approximate steps details in the source commit generate a project with ionic cli with blank template generate a new page ionic generate page page edit the home page to use ionicpage annotation add the corresponding module and remove references from appmodule add a simple navigation directive somewhere in the home page button ion-button navpush=pagepage>go to page button i couldnt make a working plunker with the new deeplink config annotation and no direct references my attempt info run ionic info from a terminal/cmd prompt and paste output below): cli packages ionic/cli-plugin-ionic-angular c:\nw\proto\ion-test-simple-nav\node_modules\@ionic\cli-plugin-ionic-angular ionic/cli-utils c:\nw\proto\ion-test-simple-nav\node_modules\@ionic\cli-utils ionic ionic cli c:\nw\proto\ion-test-simple-nav\node_modules\ionic)local packages ionic/app-scripts ionic framework ionic-angular system node v os windows npm
246001216,12485,https://api.github.com/repos/ionic-team/ionic/issues/12485,StevenLiSiwei,12,0,0,0,0,0,ionic version check one with x x for ionic x issues please use x x x im submitting a check one with x) x bug report feature request support request please do not submit support requests here use one of these channels or behavior: the ionviewcanleave works on back button but not on tabs you still can navigate freely without any issue and simply because of the current view is a pushed stack onto one of the tab page. expected behavior: ionviewcanleave should be working on all navigation buttons including tabs preventing users from navigating out the current page if some condition is not satisfied steps to reproduce: i have created a repo for producing this error information: global packages ionic/cli-utils ionic cli local packages ionic/app-scripts ionic/cli-plugin-ionic-angular ionic framework ionic-angular system node v os windows xcode not installed ios-deploy not installed ios-sim not installed npm
241831089,12309,https://api.github.com/repos/ionic-team/ionic/issues/12309,AmitMY,19,0,0,0,0,0,ionic version check one with x x for ionic x issues please use x x x im submitting a check one with x) x bug report feature request support request please do not submit support requests here use one of these channels or behavior: having infinite scroll calling content.scrolltotop before last content.scrolltotop resolves throws an un-catchable error and breaks the app error typeerror cannot read property timestamp of null at infinitescroll._onscroll infinite-scroll.ts at safesubscriber.schedulerfn as next event_emitter.ts at safesubscriber.__tryorunsub subscriber.ts at safesubscriber.next subscriber.ts at subscriber._next subscriber.ts at subscriber.next subscriber.ts at eventemitterproxy.subject.next subject.ts at eventemitterproxy.eventemitter.emit event_emitter.ts at scrollview.scroll.onscroll content.ts at scrollview.setscrolling scroll-view.ts:) expected behavior: either be able to catch the error or better yet dont error. steps to reproduce: plunker scroll to or so tap scrolltotop twice fast look at console if no error try again.you can do it only once though per refresh because it kills the thread. ionic info run ionic info from a terminal/cmd prompt and paste output below): global packages ionic/cli-utils ionic cli local packages ionic/app-scripts ionic/cli-plugin-ionic-angular ionic framework ionic-angular system node v os windows xcode not installed ios-deploy not installed ios-sim not installed npm
241558993,12297,https://api.github.com/repos/ionic-team/ionic/issues/12297,dylanvdmerwe,9,0,0,1,0,1,ionic version check one with x x for ionic x issues please use x x x im submitting a check one with x) x bug report feature request support request please do not submit support requests here use one of these channels or behavior: if you have an ionslidedidchange event attached to ion-slides and in this method you call getactiveindex on the last slide in ion-slides if you continue swiping at the end of the slides the index will sometimes move to the next item so for example if you have slides and you keep on swiping at the end of the slides getactiveindex can return when should be the very last index this can break bindings when looping through arrays jul behavior: getactiveindex should never go out of bounds. related code: it is very simple to reproduce: {{slide}} export class homepage viewchild(slides slides slides slidedata number constructor(public navctrl navcontroller this.slidedata onslidechanged let currentindex this.slides.getactiveindex console.log(currentindex ionic info run ionic info from a terminal/cmd prompt and paste output below): global packages ionic/cli-utils cordova cli ionic cli local packages ionic/app-scripts ionic/cli-plugin-cordova ionic/cli-plugin-ionic-angular cordova platforms ios ionic framework ionic-angular system node v os macos sierra xcode xcode build version eb ios-deploy ios-sim npm
239882438,12225,https://api.github.com/repos/ionic-team/ionic/issues/12225,jkamboj,10,0,0,0,0,0,ionic version check one with x x for ionic x issues please use x x x im submitting a check one with x) x bug report feature request support request please do not submit support requests here use one of these channels or behavior: i have an action sheet into my project and opening an alert control by selecting the action sheet button the alert box open but while clicking the alert button then alert control is not dismissing/closing itself it always stays on the page. expected behavior: the alert control should be dismissed/close after pressing the agree/disagree button steps to reproduce add an action sheet into one of ionic page add the alert control into that page open an alert control using action sheet button try to close the alert control using one of agree disagree button related code: presentactionsheet let self this let actionsheet this.actionsheetctrl.create title modify your album buttons text destructive role destructive handler console.log(destructive clicked self.showconfirm text archive handler console.log(archive clicked self.showconfirm text cancel role cancel handler console.log(cancel clicked actionsheet.present showconfirm let confirm this.alertctrl.create title use this lightsaber message do you agree to use this lightsaber to do good across the intergalactic galaxy buttons text disagree handler console.log(disagree clicked confirm.dismiss text agree handler console.log(agree clicked confirm.dismiss confirm.present information list any other information that is relevant to your issue stack traces related issues suggestions on how to fix stack overflow links forum links etc ionic info run ionic info from a terminal/cmd prompt and paste output below):global packages ionic/cli-utils cordova cli ionic cli local packages ionic/app-scripts ionic/cli-plugin-cordova ionic/cli-plugin-ionic-angular cordova platforms android browser ios ionic framework ionic-angular system node v os macos sierra xcode xcode build version ea ios-deploy ios-sim npm
239194617,12194,https://api.github.com/repos/ionic-team/ionic/issues/12194,mnewmedia,22,0,0,0,0,0,ionic version x short description of what this resolves init virtual-scroll with null/undefined gave errors changes made to the array caused a flickering in the list works again when wrapped in a ngif did not clear elements when array got cleared maybe also influences how i workedi went through the history of virtual-scroll.ts and took an older version where people said it was better then i added the changes slowly again to find out where some bugs where introduced.i also compared stuff with angulars ngforof implementation because ionic also did this in the start but with time ionic drifted more and more off changes proposed in this pull request never update the differ create it only if it does not already exists dont use the setter instead uses the ngonchanges why ngfor is also like this may solves some init problems easier to reason about removed the check if there are records in changes why because if we clear the items array with setting it to null the clearing gets never proceeded only get records length if there are records why because with the above change its now possible that records is null removed the wrapping this._plt.raf in rendervirtual why because this caused the flickering while updating the list caution im not sure why or what this._plt.raf did so may review this point a bit deeper includes pr there is also a bit a description how the issues came and what we should care in future.i think a lot issues came with changes to get virtual-scroll with infinitescroll together working but i think its more important to get virtual-scroll battle tested before getting it to work with other stuff which may introduces new bugs ps i didnt test the changes infinitescroll dont care about everything below you are free to merge my wip notes for even further improvements fixes maybe maybe if you have a ion-button above vs the calcdimensions gets px too much would not matter so much if the next point would be resolved because calcdimensions gets only executed if needsclean=true if you push an item the viewheight gets not updated and so you will not see the newly added items until another change causes needsclean to be true.calcdimension updates heigth/width/top/left of data and guesses itmwidth/itmheigth writeupdate()->processrecords records to cells writeupdate()->rendervirtual()->updatedimensions calccelldimensions writeupdate()->rendervirtual()->adjustrendered set topcell/bottomcell in data finds out which cells should be rendered writeupdate()->rendervirtual()->populatenodedata assign cells to nodes writeupdate()->rendervirtual()->initreadnodes update first cell with position of first node and updatedimensions again writeupdate()->rendervirtual()->updatenodecontext updates positions of the nodes writeupdate()->rendervirtual()->_stepchangedetection detect changes in nodes writeupdate()->rendervirtual()->_stepdomwrite set positions of nodes on the dom scroll stepnochanges()->processrecords records to cells stepnochanges()->updatedimensions calccelldimensions stepnochanges()->adjustrendered set topcell/bottomcell in data finds out which cells should be rendered stepnochanges()->populatenodedata assign cells to nodes stepnochanges()->updatenodecontext updates positions of the nodes?whats the difference of stepsnochanges and writeupdate?whats the difference of writeupdate and stepdomwrite
