issueId,body
342139923,this form is for bug reports and feature requests only!if youre looking for help check stack overflow and the troubleshooting guide the matter is security related please disclose it privately via this a bug report or feature request uncomment only one leave it on its own line:>/kind bug kind feature what happened :in the process of running kubeadm init kubernetes attempted to pull images required for setting up a kubernetes cluster and then failed to pull all of the images required. what you expected to happen :i expected a new cluster to be created with my vm as the master node. anything else we need to know? : environment kubernetes version use kubectl version cloud provider or hardware configuration os e.g from etc/os-release ubuntu lts kernel e.g uname a install tools apt others: screenshots ! image syslog entries_! image
340203045,is this a bug report or feature request? :/kind bug what happened :in ubuntu dns queries are being served via systemd-resolved daemon which is listening on and serves queries only from the only line in etc/resolv.conf is nameserver and this file is managed by systemd.once any pod with hostport notation appears on the host kubelet fires the iptables rule in postrouting chain of nat table a postrouting s o lo m comment comment snat for localhost access to hostports j masqueradesee commit lines details.therefore all queries to goes not from but from interface with default route due to masquerading and systemd-resolved rejects all of these requests with systemd-resolved got packet on unexpected ip range refusing. how to reproduce it as minimally and precisely as possible) :just install kubernetes with cni on ubuntu with kubeadm kubespray chef-kubernetes whatever and run any pod with hostport .voila you just lost dns resolving. environment kubernetes version use kubectl version v cloud provider or hardware configuration digital ocean but reproduceable on any configuration os e.g from etc/os-release ubuntu lts kernel e.g uname a linux kube generic ubuntu smp wed may utc x x x gnu/linux install tools chef-kubernetes but reproduceable with any install tool others cni cni plugins cni daemon weave/sig network
336552550,kind bug what happened :when getting nodes or pods using the command kubectl get pods kubectl get pods the following output appears: no resources found.error from server notacceptable unknown get nodes) no resources found.error from server notacceptable unknown get pods) what you expected to happen :when running the command kubectl get pods/nodes with kubectl version pods/nodes appear. how to reproduce it as minimally and precisely as possible run kubectl get pods using kubectl anything else we need to know? : environment kubernetes version use kubectl version ): client version version.info{major minor gitversion:v gitcommit:ebfdfcddfdacbececceefe gittreestate:clean builddate:--t::z goversion:go compiler:gc platform:linux/amd}server version version.info{major minor gitversion:v gitcommit:befcbadbffdcbcda gittreestate:clean builddate:--t::z goversion:go compiler:gc platform:linux/amd cloud provider or hardware configuration aws os e.g from etc/os-release kernel: linux default-ef-bf--ae-bbad generic ubuntu smp wed sep utc x x x gnu/linux install tools: curl lo
333689159,kind bug what happened :installed ks using kubeadm and added the admin config as described when asking for a kubectl cluster-info dump i get error missing apiversion or kind and cannot assign it no kind is registered for the type core.nodelist what you expected to happen :to get a cluster info dump how to reproduce it as minimally and precisely as possible) :with the following kubeadm.conf apiversion kubeadm.ks.io/valphakind masterconfigurationapi advertiseaddress networking servicesubnet fd:::/kubernetesversion beta.cloudprovider externalfeaturegates coredns falsecrisocket var/run/containerd/containerd.sock run sudo kubeadm init config=kubeadm.conf mkdir p home/.kube sudo cp i etc/kubernetes/admin.conf home/.kube/config sudo chown id u):$(id g home/.kube/config kubectl cluster-info kubectl cluster-info dump anything else we need to know? :running containerd environment kubernetes version use kubectl version ):client version version.info{major minor gitversion:v..-beta gitcommit:becfcfebaedcce gittreestate:clean builddate:--t::z goversion:go compiler:gc platform:linux/amd}server version version.info{major minor gitversion:v..-beta gitcommit:becfcfebaedcce gittreestate:clean builddate:--t::z goversion:go compiler:gc platform:linux/amd cloud provider or hardware configuration:brightbox os e.g from etc/os-release):ubuntu lts kernel e.g uname a ):linux srv-ir generic ubuntu smp wed may utc x x x gnu/linux install tools:kubeadm version version.info{major minor gitversion:v..-beta gitcommit:becfcfebaedcce gittreestate:clean builddate:--t::z goversion:go compiler:gc platform:linux/amd others:containerd github.com/containerd/containerd v..-rc cbefeaebbafeabecfaa
325889581,kind bug what happened :brand new hypriotos install on a raspberrypi model b installed kubeadm kubectl and kubelet per kubelet seg faults with kubeletunexpected fault address xcbafatal error fault signal sigsegv segmentation violation code=x addr=xcba pc=xcba goroutine running locked to thread :runtime.throw(xaae x usr/local/go/src/runtime/panic.go x fp=xe sp=xec pc=xefaruntime.sigpanic usr/local/go/src/runtime/signal_unix.go xcc fp=xebc sp=xe pc=xcks.io/kubernetes/vendor/github.com/appc/spec/schema/types.semver.empty workspace/anago-v..-beta..+bbadda/src/ks.io/kubernetes/_output/dockerized/go/src/ks.io/kubernetes/vendor/github.com/appc/spec/schema/types/semver.go:ks.io/kubernetes/vendor/github.com/appc/spec/schema/types.newsemver(xad xb xafbcf xb xc workspace/anago-v..-beta..+bbadda/src/ks.io/kubernetes/_output/dockerized/go/src/ks.io/kubernetes/vendor/github.com/appc/spec/schema/types/semver.go x fp=xf sp=xec pc=xcdgoroutine chan receive :ks.io/kubernetes/vendor/github.com/golang/glog.(*loggingt).flushdaemon(xf workspace/anago-v..-beta..+bbadda/src/ks.io/kubernetes/_output/dockerized/go/src/ks.io/kubernetes/vendor/github.com/golang/glog/glog.go xcreated by ks.io/kubernetes/vendor/github.com/golang/glog.init workspace/anago-v..-beta..+bbadda/src/ks.io/kubernetes/_output/dockerized/go/src/ks.io/kubernetes/vendor/github.com/golang/glog/glog.go xagoroutine syscall :os/signal.signal_recv(xbdc usr/local/go/src/runtime/sigqueue.go xos/signal.loop usr/local/go/src/os/signal/signal_unix.go xcreated by os/signal.init usr/local/go/src/os/signal/signal_unix.go x what you expected to happen : kubelet not to seg fault how to reproduce it as minimally and precisely as possible) :i believe any new install on armv hosts should experience this seg fault. anything else we need to know? :downgrading to kubelet resolves this issue: hypriotos/armv root@node in aptitude install kubelet=..-the following packages will be downgraded kubelet packages upgraded newly installed downgraded to remove and not upgraded.need to get mb of archives after unpacking kb will be freed.get kubernetes-xenial/main armhf kubelet armhf mb fetched mb in s kb/s)dpkg warning downgrading kubelet from to reading database files and directories currently installed.)preparing to unpack kubelet_..-_armhf.deb unpacking kubelet over setting up kubelet current status upgradable.hypriotos/armv root@node in kubelet versioni feature_gate.go feature gates map }w cni.go unable to update cni config no networks found in etc/cni/net.dw hostport_manager.go the binary conntrack is not installed this can cause failures in network connection cleanup.i server.go version v..i feature_gate.go feature gates map }i plugins.go no cloud provider specified.w server.go standalone mode no api cliente machine.go failed to get cache information for node open sys/devices/system/cpu/cpu/cache no such file or directoryw server.go no api server defined no events will be sent to api server.i server.go cgroups-per-qos enabled but cgroup-root was not specified defaulting to i container_manager_linux.go container manager verified user specified cgroup-root exists i container_manager_linux.go creating container manager object based on node config runtimecgroupsname systemcgroupsname kubeletcgroupsname containerruntime:docker cgroupsperqos:true cgrouproot cgroupdriver:cgroupfs kubeletrootdir:/var/lib/kubelet protectkerneldefaults:false nodeallocatableconfig:{kubereservedcgroupname systemreservedcgroupname enforcenodeallocatable:map pods kubereserved:map systemreserved:map hardevictionthresholds: {signal:memory.available operator:lessthan value:{quantity:mi percentage graceperiod:s minreclaim:
323892489,is this a bug report or feature request? :/kind feature/sig aws anything else we need to know? :aws nlbs support static ip addresses by associating an eip per az an already allocated eip can be supplied with the subnetmapping user can then supply eip allocation ids in the service definition of kubernetes by that the service will be available via those static ips
316927434,this form is for bug reports and feature requests only!if youre looking for help check stack overflow and the troubleshooting guide this may be security issue please disclose it privately via this a bug report or feature request? :/kind feature what you expected to happen : ec tags are useful for identifying types of compute resources for billing purposes identifying ownership within your organization segregating workloads and more node labels are used for similar purposes so it feels natural to expose ec tags or a subset of them perhaps based on a certain key prefix to kubernetes via node labels would love a discussion of how this behavior should be exposed environment cloud provider or hardware configuration aws os e.g from etc/os-release any sig aws
314393574,is this a bug report or feature request kind bug what happened liveness/readiness probes are failing so frequently and the failures are also inconsistent some of the pods in the same deployment are getting stuck in the crashloopbackoff back-off restarting failed containererror syncing pod skipping failed to startcontainer for web with crashloopbackoff back-off ms restarting failed container=web pod=web-controller--qtfg_micro-services(afb-a-e-aa-bce)liveness probe failed get dial tcp getsockopt connection refusedfailed to start container with id deeaadbaabdbaccebdbfeed with error rpc error code desc failed to create symbolic link var/log/pods/afb-a-e-aa-bce/web_.log to the container log file var/lib/docker/containers/deeaadbaabdbaccebdbfeed/deeaadbaabdbaccebdbfeed-json.log for container deeaadbaabdbaccebdbfeed symlink var/lib/docker/containers/deeaadbaabdbaccebdbfeed/deeaadbaabdbaccebdbfeed-json.log var/log/pods/afb-a-e-aa-bce/web_.log file exists and few more errors from other pods! error syncing pod skipping failed to createpodsandbox for work--zkf_micro-services(dd-f-e-aa-bce with createpodsandboxerror createpodsandbox for pod work--zkf_micro-services(dd-f-e-aa-bce failed rpc error code desc networkplugin kubenet failed to set up pod work--zkf_micro-services network error adding container to network failed to connect vethdaac to bridge cbr exchange full here is how my livenessprobe config livenessprobe httpget path port scheme http initialdelayseconds timeoutseconds periodseconds successthreshold failurethreshold what you expected to happen :health checks to pass if the app is running how to reproduce it as minimally and precisely as possible) : anything else we need to know? :its a nodejs app and its listening on port and its also exposed in dockerfile. environment kubernetes version use kubectl version ): client version version.info{major minor gitversion:v gitcommit:fefbcbcffdbedfcbfbebacd gittreestate:clean builddate:--t::z goversion:go compiler:gc platform:darwin/amd}server version version.info{major minor gitversion:v gitcommit:cccfbbceaafaff gittreestate:clean builddate:--t::z goversion:go compiler:gc platform:linux/amd cloud provider or hardware configuration aws os e.g from etc/os-release ubuntu lts kernel e.g uname a linux ip ks smp fri jul utc x gnu/linux install tools kops others
313269685,is this a bug report or feature request? :/kind bug what happened spec.backofflimit for a job does not work on kubernetes what you expected to happen : .spec.backofflimit can limit the number of time a pod is restarted when running inside a job how to reproduce it as minimally and precisely as possible) :use this resource file: apiversion batch/vkind jobmetadata name errorspec backofflimit template metadata name job spec restartpolicy never containers name job image ubuntu args sh c sleep false if the job was created in kubernetes it will soon fail: ....status conditions lastprobetime t::z lasttransitiontime t::z message job has reach the specified backoff limit reason backofflimitexceeded status true type failed failed starttime t::z... while creating the job in kubernetes it will be restarted infinitely: ...status active failed starttime t::z... anything else we need to know? : environment kubernetes version use kubectl version cloud provider or hardware configuration aws os e.g from etc/os-release ubuntu kernel e.g uname a linux install tools kubeadm others
312887074,kind feature/sig node what happened :a program started leaking tcp memory which filled up the nodes tcp stack memory the network performance on the node degraded and connections to pods running on the node either times out or will hang for a long time.nodes dmesg had lines mentioning tcp out of memory consider tuning tcp_mem further reading and investigation reveals that this could happen when tcp stack runs out of memory pages allocated by kernel or when there are lot of orphaned/open sockets.tcp stack limits max bash cat proc/sys/net/ipv/tcp_mem min pressure max usage when issue happened mem cat proc/net/sockstatsockets used tcp inuse orphan tw alloc mem udp inuse mem udplite inuse raw inuse frag inuse memory kubelet posts node status as ready. what you expected to happen :kubelet should say node is not ready.it would be great if kubelet could track the tcp_mem stats also along with cpu/ram/disk as network is also an important factor if tcp_mem limit is hit for some reason the node is not usable notifying the user that node has some issue can help debugging and further identifying the cause. how to reproduce it as minimally and precisely as possible create a gke cluster label a node to carry out tests bash kubectl label node node-name node=leak-test create an nginx deployment with loadbalancer with can serve a large file bash kubectl create f check if you can download the large file bash curl o large-file ip>/large-file create a deployment that can fill up the tcp stack memory bash kubectl create f ssh into the node and observe cat proc/sys/net/ipv/tcp_mem and cat proc/net/sockstat and scale the deployment until the current mem exceeds the limit try downloading the large file again it will either become very slow or will not happen at all anything else we need to know? :this is more of a feature request for kubelet rather than a bug tcp mem can get filled if the node is running a lot of tcp heavy workloads need not necessarily be a leak since kubelet is ultimately responsible for reporting nodes health network should also be a parameter. environment kubernetes version use kubectl version v..-gke cloud provider or hardware configuration gke node n-standard os e.g from etc/os-release container-optimized os kernel e.g uname a install tools others
