issueId,body
344944506,this pr does a few things it changes the event subscriber from using time.now to use process clock this avoids issues with the machine changing time and reduces allocations by for each event adds start and finish methods to event so we can record more information adds cpu time idle time and allocations count to eventcc tenderlove
338950762,at present when an uploaded file is assigned to a record via a writer method added by has_one_attached or has_many_attached its persisted to storage immediately for example the following causes an uploaded file in params :avatar to be stored: ruby@user.avatar params :avatar wed like to support validating blobs attached to records but for validations to be effective they ought to prevent invalid files from being stored its of little use to identify an invalid file after its already been shipped off to storage you might use a size validation to limit the cost that a single file can add to your aws bill but if the file is stored before validations run you incur its cost regardless.this pr changes active storage to store attachables assigned to a record after the record is saved rather than immediately to that end it introduces change tracking for active storage attachments when you use a writer method added by has_one_attached or has_many_attached active storage tracks a pending change to the records attachments the change is persisted in the applications database when the record is saved and the attachables involved are uploaded to storage only after the save transaction commits.included are supplementary reorganization and expansion of the attachment apis tests
330295059,make webpacker the default javascript compiler for rails with the following changes webpacker gem is installed by default and webpacker:install is run by the rails application generator action cable channel generators will create es stubs rather than use coffeescript active storage action cable turbolinks and rails-ujs is loaded by a new application.js pack in app/javascript by default unless any of the frameworks have been opted out active storage action cable turbolinks and rails-ujs npm modules are automatically listed as dependencies in the default package.json all the javascript-related auxiliaries for sprockets like compression and uglifying is no longer configured or included by default no javascript stubs will be created by default when using the scaffold generators any more
323235613,is there any way to add a prefix to bucket in amazon s?something like this: rubyclass user applicationrecord has_one_attached avatar prefix user/avatars has_many_attached files prefix user/filesend maybe update sservice method: rubyclass service::sservice service def object_for(key prefix bucket.object(#{prefix}/#{key endend or store prefix with key in database
323160333,"tl;dr my decently sized rails app models controllers is suffering from a continuously increasing slowdown in development mode that makes it hard to work on it each reload of the code takes longer than the previous one with delays increasing to minutes after just a few reloads i have identified a probable cause and its also present on new apps rails new leakyapp no added gems i havent found a solution yet.the issue path and url helpers are packaged into a module and included in controllers and other classes when you reload an app the helper methods in this module are removed and then re-added while doing this ruby needs to remove the methods from each class that includes the module however each reload of the code leaves the old class instances e.g the controller from the previous request etc in memory and thus ruby needs to clean route helpers from an ever increasing amount of classes this gets slow after a while backgroundhello,for the past years ive been coping with an issue that rails feels extremely slow when developing i start the server wait for it to boot up and open the site it takes a minute or two before it loads then i have to make a change to a controller model or other rb file and hit reload in the browser it takes some seconds and the changed page opens just fine however after each following change the reload takes longer and longer after a few rounds its faster to restart the server than to wait for rails to reload the code im often waiting minutes before anything shows up again.at first i thought the issue has something to do with activeadmin a properly slow gem in its own right since it always takes forever to reload if i make any change in the admin area i thought the increasing slowness was just part of the package and i tolerated it for longer than i should have lately though it got so unbearable that i needed to find a solution.so i started profiling opening on page in admin from a cold boot i get this beautiful firegraph::xfdac routes=# ids cs.map c mass.references(c map k k.keys flatten.select k k pry map k k.split(#).last.to_i actiondispatch::request actiondispatch::request actiondispatch::request actiondispatch::request actiondispatch::request actiondispatch::request actiondispatch::request actiondispatch::request actiondispatch::request# the somethingcontroller s are only referenced by some actiondispatch::request s that are hanging around.looking at who is referencing those requests: rbids.map id id,mass.references(mass id to_h somethingcontroller#=> @_request actiondispatch::response#=> @request actiondispatch::http::headers#=> @req actiondispatch::request::session#=> @req actiondispatch::cookies::cookiejar#=> @request actiondispatch::remoteip::getip#=> @req actiondispatch::http::headers#=> @req somethingcontroller#=> @_request actiondispatch::response#=> @request actiondispatch::request::session#=> @req actiondispatch::cookies::cookiejar#=> @request actiondispatch::remoteip::getip#=> @req actiondispatch::http::headers#=> @req somethingcontroller#=> @_request actiondispatch::response#=> @request actiondispatch::request::session#=> @req actiondispatch::cookies::cookiejar#=> @request actiondispatch::remoteip::getip#=> @req }} i investigated all of them in depth via mass.references and couldnt find any top node that held a reference to any object from all the different requests the objects from each request however seem to have slightly cyclical relationships e.g a request holds a session a session holds an env the env holds the session and the request or something like that im not sure if this changes anything they could and should be removed in bulk after a reload.starting the gc manually does nothing.and now im stuck does anyone have an idea what is happening if its perhaps a feature not a bug and how can i fix this so that my reload times go back to around seconds smile:thanks for reading beers steps to reproduce create a new rails app add a few models and controllers add this to any controller def index bla render plain objectspace.each_object(object).select{|o o.class.ancestors.to_s.include?(applicationcontroller map(&:to_s).inspectend rails server and open the endpoint from step make any change in any rb code and reload e.g increment the bla counter see the number of loaded instances of the controller go up and up wonder what can be done about it expected behaviorrails should just keep the latest instance of the controller class in memory not all of them actual behaviorevery reload of the code adds a new controller instance in memory and cleaning url helper methods from all these old controllers takes longer after each reload system configuration rails version ruby version disclaimer*when i say rails does this or rails does that above im using rails as a shorthand for object the issue could easily come from any included gem e.g puma or i might be doing something wrong myself"
319441008,i try to use activestorage to store my images with paperclip in s bucket we can have product/id_image/*.png but with activestorage all is at the root and in the variants folder.any pan to hierarchy this with folder at least one folder by model because brows in ftp with several images is very slow
318379067,in the dog was removed from the rails_welcome.png.now there is only a cat and humans but the puppy was a nice detail
318202397,rails-welcome-new dhh
316031730,fixes a transaction is opened and closed without any queries being run we can safely omit the begin and commit statements as they only exist to modify the connections behaviour inside the transaction this removes the overhead of those statements when saving a record with no changes which makes workarounds like save if changed unnecessary.~this implementation wraps the raw database connection in a proxy which buffers begin_transaction calls and materializes them the next time the connection is used or discards them if end_transaction is called first this approach makes new connection usage inside the adapters behave correctly by default third party adapters can use the begin_transaction / end_transaction apis to opt in to the new behaviour but will still work even if they dont.~this implementation buffers transactions inside the transaction manager and materializes them the next time the connection is used for this to work the adapter needs to guard all connection use with a call to materialize_transactions because of this adapters must opt in to get this new behaviour by implementing supports_lazy_transactions? .if raw_connection is used to get a reference to the underlying database connection the behaviour is disabled and transactions are opened eagerly as we cant know how the connection will be used however when the connection is checked back into the pool we can assume that the application wont use the reference again and reenable lazy transactions this prevents a single raw_connection call from disabling lazy transactions for the lifetime of the connection
314430644,summaryid like to propose a couple of changes documentation to make it more inclusive of trans and non-binary individuals i have changed examples that previously used a users gender to use attributes like favorite_color or subscribed_to_newsletter instead other informationthe rails code of conduct advises to use welcoming and inclusive language and this pr helps the documentation continue to evolve to be in line with the code of conduct
313948308,summarythe current javascript esp es is more popular than coffeescript nowadays so the pr converts them to vanilla javascript with decaffeinate to that i have involved in a project that uses decaffeinate to get rid of coffeescript it just works except for some mistakes on applying decaffeinate suggestions by hand todo convert coffeescript code in markdown files tips pbpaste decaffeinate pbcopy converts coffeescript to javascript in clopboard apply/reject decaffeinate suggestions by hand they are added by decaffeinate convert es syntax to es i.g class
313575620,on rails when compression is enabled which it is by default the actual value being written to the underlying storage is actually bigger than the uncompressed raw value.this is because the marshaled_value instance variable typically gets serialized with the entry object which is then written to the underlying storage essentially double-storing every value once uncompressed once possibly compressed).this regression was introduced in fix incoming
313066684,"in the app im working on ive wished that index_by had a buddy that wouldassign the hash value instead of the key multiple times.enter index_with useful when building a hash from a static list ofsymbols before youd do: rubypost_attributes.map attr_name attr_name public_send(attr_name to_h but now thats a little clearer and faster with: rubypost_attributes.index_with attr_name public_send(attr_name its also useful when you have an enumerable that should be converted to a hash,but you dont want to muddle the code up with the overhead that it takes to createthat hash so before thats: rubyweekdays.each_with_object(hash.new do day intervals intervals day interval.all_day end and now its just: rubyweekdays.index_with interval.all_day its also nice to quickly get a hash with either nil or as the value"
311814194,imageprocessing gem is a wrapper around minimagick and ruby-vips and implements an interface for common image resizing and processing this is the canonical image processing gem recommended in shrine and thats where it developed from the initial implementation was extracted from refile which also implements on-the-fly transformations.some features that imageprocessing gem adds on top of minimagick resizing macros resize_to_limit resize_to_fit resize_to_fill resize_and_pad automatic orientation automatic thumbnail sharpening avoids the complex and inefficient minimagick::image class will use magick cli instead of convert on imagemagick in the near futurehowever maybe the biggest feature of the imageprocessing gem is that it has an alternative implementation that uses libvips libvips is an alternative to imagemagick that can process images very rapidly weve seen up to x faster processing compared to imagemagick).whats great is that the imageprocessing gem provides the same interface for both implementations the macros are named the same and the libvips implementation also does auto orientation and thumbnail sharpening only the operations/options specific to imagemagick/libvips differ the integration provided by this pr should work for both implementations.the pr should maintain almost backwards compatibility there are two incompatibilities users would now have to include the image_processing gem into their gemfiles instead of mini_magick combine_options was removed because imageprocessing::minimagick builds a single convert command so its not needed anymorei know that rails is on feature freeze before the release but i think if we agree we want imageprocessing to be used for active storage its better to get it in now due to the two mentioned backwards incompatibilities.in short active storage relying on imageprocessing means it will have much better minimagick defaults it will get libvips support for free which is a big deal in terms of performance it will get convenient resizing macros that work on both implementations and it means the active storage project will have minimal maintenance in the image processing department
306050758,for multi db applications you always had to create your own rake tasks which made setting up multi db a major pita this pr is part of a many that adds the initial underpinning for supporting multiple databases through the rake db commands im doing this in small prs so that reviewing is easier.this app can be used to test out the features here just clone and use the commands below to play with testing re rake tasks for create migrate drop and dump below are assuming a three-tier database.yml like this: yamldevelopment primary default database multiple_databases_development animals default database multiple_databases_development_animals migrations_paths db/animals_migratetest primary default database multiple_databases_test animals default database multiple_databases_test_animals migrations_paths db/animals_migrate creates internal databaseconfig objects so its easier to pass around the configs we can then ask a databaseconfig for its env or spec or config directly this will come in handy for a larger refactoring im working on ensures when running bin/rails db:create bin/rails db:migrate bin/rails db:drop and bin/rails db:schema|structure:dump that tasks are run for all relevant envs and all databases in that env so given the above config bin/rails db:create will create the dev and test dbs for both primary and animals configs adds new rails db tasks that can perform create/migrate/drop on a specific database in an environment bin/rails db:create:primary or bin/rails db:create:animals bin/rails db:drop:primary or bin/rails db:drop:animals bin/rails db:migrate:primary or bin/rails db:migrate:animals future parts of this work will add more rake task support for multi db as this only does the first major ones add documentation for multi-db three-tier database.yml applications add documentation for the rake tasks refactoring of the connection management to fix the assumption that the config lives directly under development see for more info there on what im talking about eventually porting these to rails commands dealing with rw/ro connection setupscc matthewd tenderlove dhh
