issueId,body
348407956,"dear developers,after an update to signal version on android some beautiful colors like orange for contacts disapeared and now i can choose from only nine colors i can hardly distinguish because i am suffering of deuteranopia it would be great if you can reenable more colors to choose from.another problem is that my wired headset on my sony li is still muted only with signal maybe due to echo cancelation"
347581993,this is a bug report template by following the instructions below and filling out the sections with your information you will help the developers get all the necessary data to fix your issue.you can also preview your report before submitting it you may remove sections that arent relevant to your particular case.before we begin please note that this tracker is only for issues it is not for questions comments or feature requests.if you would like to discuss a new feature or submit suggestions please visit the community forum you are looking for support please visit our support center email support@signal.orglets begin with a checklist replace the empty checkboxes below with checked ones x accordingly x i have searched open and closed issues for duplicates x i am submitting a bug report for existing functionality that does not work as intended x i have read x this isnt a feature request or a discussion topic bug descriptionsignal for android reduced the number of available conversation colors from to compared to version im not sure if this is a bug or intentional seems like an odd bug to have been introduced accidentally but i cant see why youd want to reduce the palette especially with such similar colors either way the color selection is now much too limiting and should be restored i should also add that two colors are extremely similar to another two making the options effectively more limited red and slightly-orangish-red and teal and uh teal no in individual conversations the color selection doesnt matter too much but in group conversations it is really helpful to have different colors to quickly tell the members apart especially if peoples circle icons have both the same letter now several conversations of mine have two or more people in it with the same color steps to reproduce go to conversation settings and then the color option actual result note there are only options of which two are very similar to another two). expected result color options being presented to choose from device info replace the examples with your info device nexus android version signal version
340764357,the first large batch of changes to improve signals look.the most interesting java change is likely conversationitem which renders the message items theres a lot of work there around new rendering rules that take into consideration neighboring messages to collapse footers round corners show/hide the author etc.its also worth noting that because the position of the timestamp information changes based on message type solo-images and shared contacts render the timestamp in a different location the footer has been broken out to conversationitemfooter so it can be re-used in different areas.also because the way we show images has changed a bit ive wrapped thumbnailview into a class conversationitemthumbnail so we can render the conversationitemfooter and timestamp background shade without making thumbnailview overly-specific. test devices moto e nd gen android api galaxy s mini android api google pixel android api
335892929,fixes you can remove this first section if you have contributed before first time contributor checklist replace the empty checkboxes below with checked ones x accordingly x i have read how to contribute to this project x i have signed the contributor license agreement contributor checklist replace the empty checkboxes below with checked ones x accordingly x i am following the code style guidelines x i have tested my contribution on these devices physical device samsung galaxy s edge android x my contribution is fully baked and ready to be merged as is x i ensure that all the open issues my contribution fixes are mentioned in the commit message of my first commit using the fixes syntax descriptionive added osmdroid to load/display the map and allow a user to select a location the user can also specify an optional location name and address this is only used when the google play services is not installed or disabled ive also replaced the google maps link with openstreetmap when the google play services is not available
322476383,contributor checklist replace the empty checkboxes below with checked ones x accordingly x i am following the code style guidelines x i have tested my contribution on these devices google pixel android without google play services virtual google pixel android with google play services not relevant but tested to make sure it worked anyway virtual google pixel android without google play services x my contribution is fully baked and ready to be merged as is x i ensure that all the open issues my contribution fixes are mentioned in the commit message of my first commit using the fixes syntax freebiethis commit changes the background connection icon to one that can be distinguished from the incoming message icon descriptionthis pull request changes the icon for the background connection enabled notification to a new icon ic_background_connection_dark_dp so that it can be differentiated from message notifications in the status bar fixes though improves the situation is perhaps more accurate).this is what the expanded notification drawer used to look like sensitive data removed):! screenshot how this results in two signal-icon notifications in the status bar when a message notification is also present:! -dccc-dba-e--ddc pull request changes the background connection icon to ic_background_connection_dark_dp a new icon created by the users attributed below making the message notification icon different from that of the background connection notification so that the two can be easily differentiated:! screenshot change affects only a small number of users i.e users whose phones run android without google play services and is only particularly relevant to users of android the background connection notification does not appear in the status bar in lower versions that is to say not many will see this icon.this contribution comes out of a desire to fix something that has been nagging at me ever since i updated to android and i imagine that im not the only user who is bothered by the confusing background connection icon it looks like i always have a notification.)special thanks to pnci cernekee michaelkirk-signal iadmir and nikwen. this contribution is a freebie. (this pull request is an improved version of this old pull request as well as this one
318896079,this is a bug report template by following the instructions below and filling out the sections with your information you will help the developers get all the necessary data to fix your issue.you can also preview your report before submitting it you may remove sections that arent relevant to your particular case.before we begin please note that this tracker is only for issues it is not for questions comments or feature requests.if you would like to discuss a new feature or submit suggestions please visit the community forum you are looking for support please visit our support center email support@signal.orglets begin with a checklist replace the empty checkboxes below with checked ones x accordingly x i have searched open and closed issues for duplicates x i am submitting a bug report for existing functionality that does not work as intended x i have read x this isnt a feature request or a discussion topic bug descriptioncant hear any audio message received steps to reproduce receive and audio message push play button actual result get error playing audio expected result hear the audio message device info replace the examples with your info device moto g plus android version signal version link to debug log immediately after the bug has happened capture a debug log via signals advanced settings and paste the link below
317849044,a button has been added to allow switching between the front and back camera during video calls camera-flip x get design approval x test with google pixel devices there may be issues according to this comment cases simulate missing a back camera simulate missing a front camera simulate missing both cameras being both the initiator and receiver of the call pressing the toggle button really fast test devices moto e nd gen android api moto x nd gen android api galaxy s mini android api google pixel android api
317044067,if you have a message selected simply typing will begin composing a reply you dont have to click the reply button up top. demo video devices moto e nd gen android api
316027270,this pr allows the search bar in the conversation list to search not only conversations but also contacts and messages this is done by using sqlites full-text search feature. demo video clicking load full conversation takes s in the video because the conversation is approximately messages long load time tends to scale roughly linearly so conversations with messages complete in a little under seconds on this mid-tier phone moto x nd gen)._while implementing this feature i took the opportunity to bring in some of the new android architecture components specifically viewmodels the search feature has been split into appropriate view viewmodel and repository layers and the plan is to continue doing this where appropriate when adding new features.finally getting search to be performant involved coordinating with the sqlcipher team to make some changes to how cursors are filled these changes have not yet been merged in yet and therefore ive tagged this pr as do not merge until we have the new sqlcipher library tested and integrated.in addition to those changes to further improve performance i made is so that if you jump to an old enough message we only load neighboring messages same as we do when loading a conversation from the bottom that means you can see the load more messages banner on both the top and bottom of the list to improve the ui of clicking that button it now adds a cute little spinner. checklist x ensure that the versioncode matches the one in the upgrade activity x ensure the newest version of the sqlcipher library has been published and included test devices moto x nd gen android api galaxy s mini android api oneplus one android
314432949,this is a bug report template by following the instructions below and filling out the sections with your information you will help the developers get all the necessary data to fix your issue.you can also preview your report before submitting it you may remove sections that arent relevant to your particular case.before we begin please note that this tracker is only for issues it is not for questions comments or feature requests.if you would like to discuss a new feature or submit suggestions please visit the community forum you are looking for support please visit our support center email support@signal.orglets begin with a checklist replace the empty checkboxes below with checked ones x accordingly x i have searched open and closed issues for duplicates x i am submitting a bug report for existing functionality that does not work as intended x i have read x this isnt a feature request or a discussion topic bug descriptionwhen i create a mms group through signal replies from other members create a new thread the original group does not list me as a member but the new group does defauly sms app wifi calling compatibility mode off project fi network steps to reproduce create a mms group send a message wait for someone to reply actual result the reply creates a new thread/group expected result replies go to the same thread/group screenshots you can drag and drop images below first group replies device info replace the examples with your info device pixel android version signal version link to debug log immediately after the bug has happened capture a debug log via signals advanced settings and paste the link below is a re-submission of which was closed during the cleanup
