issueId,issue_number,url,user,like,dislike,laugh,hooray,confused,heart,body
349687554,19428,https://api.github.com/repos/dotnet/coreclr/issues/19428,noahfalk,2,0,0,0,0,0,multicore jit has been able to provide startup wins after it is trained but in many scenarios generating and persisting the training data is problematic we could instead analyze the il of methods as they were being generated to infer the additional methods they are likely to call in the near future as a simple case if we were jitting a method: foo bar baz();} we have a pretty strong expectation that bar and baz will be needed in the near future lets naively assume that each of foo bar and baz take us to compile foo takes us to run once jitted and at the us mark of compiling foo the jit will call back to the runtime alerting it that bar and baz are good speculative compilation candidates in the current runtime foo would complete after us whereas in a perfectly parallelized world with no other overhead it would complete in us in practice the wins would probably be less than what we see from trained multicore jit but wed need further investigation to determine how much less we might still be able to capture a significant fraction the advantage is that it doesnt create any dependencies that the application needs to account for which gives it broader scenario reach
349644129,19416,https://api.github.com/repos/dotnet/coreclr/issues/19416,AaronRobinsonMSFT,1,0,0,1,0,0,the build-test.cmd handles all test asset building native/managed on the windows platform this is not the case for build-test.sh which is used on non-windows platforms.the build-test.sh script does not handle native test asset building instead the build.sh script uses generate all repo projects based on the root cmakelists.txt see clr_cmake_build_tests this is in contrast to windows where native test projects are generated from the tests\cmakelists.txt file.this appears to be for historical reasons but the ramifications are bad the generation of test projects for non-windows has organically become dependent on many settings in the root cmakelists.txt file.cc russkeldorph janvorli bruceforstall
349586900,19412,https://api.github.com/repos/dotnet/coreclr/issues/19412,mikedn,2,0,0,0,0,0,this came up occasionally in discussions but afaik theres no issue associated with it and imo there should be due to the significant negative impact gt_asg nodes have on ryujits ir imo its one of the worst ir features if not plain and simple the worst so far i only encountered pros and no cons its an extra ir node wastes memory and slows down ir traversal it imposes a model where the meaning of some nodes depends on the context a gt_lcl_var on the rhs is a use but on the lhs is a def the jit uses various means to deal with this issue gtf_var_def gtf_ind_asg_lhs gtgetparent etc it complicates ud chain traversal ssa gives you the gt_lcl_var node on the lhs from there you need to use gtgetparent to get the gt_asg node and then get the assignments second operand if youre lucky the lhs follow the assignment otherwise gtgetparent will need to traverse multiple nodes it requires additional work to transform hir into lir the later does not use assignment nodes it doesnt match the il model that uses stores while i dont think that the ir has to strictly follow the il model this one seems like a huge and unnecessary deviation it doesnt follow the assembly model either one could argue that mov eax ebx is assignment but thats only true if eax and ebx happen to be enregistered variables otherwise youd be looking at mov eax ebx which is more similar to a store.anyone knows any advantages?afair phoenix did have assign but its ir was very different looking more like assembly i know next to nothing about llvm but i dont think it has assignment
349564124,19409,https://api.github.com/repos/dotnet/coreclr/issues/19409,kbaladurin,1,0,0,0,0,0,we should clear thumb bit of the address before flushing icache otherwise we may not flush the cache for the first byte of the instruction.this patch should fix unexpected sigills during debugging: program received signal sigill illegal instruction. switching to thread xace lwp xaeaee in gdb bt xaeaee in xbad in update_get_addr from lib/ld-linux.so x in backtrace stopped previous frame identical to this frame corrupt stack?)(gdb x/i pc xaeaee blx r xaeaee nop xaeaee nop xaeaeea add sp xaeaeec ldmia.w sp r r r r r pc
349438568,19407,https://api.github.com/repos/dotnet/coreclr/issues/19407,v0l,2,2,0,0,0,0,tested sample code on net net core behavior is the same for all why is this handled like this clearly the call to printit
349364608,19402,https://api.github.com/repos/dotnet/coreclr/issues/19402,alan1010ten,1,0,0,0,0,0,how to run dotnet core app on x without os
348952175,19373,https://api.github.com/repos/dotnet/coreclr/issues/19373,annaaniol,9,1,0,0,0,0,introducing a dllmap design document
348838543,19362,https://api.github.com/repos/dotnet/coreclr/issues/19362,tannergooding,1,0,0,0,0,0,this resolves
348547174,19345,https://api.github.com/repos/dotnet/coreclr/issues/19345,AndyAyersMS,0,0,0,1,0,0,remove almost all of the code in the jit that tries to maintain local refcounts incrementally also remove lvasortagain and related machinery.explicitly sort locals before post-lower-liveness when optimizing to get thebest set of tracked locals.explicitly recount after post-lower liveness to get accurate counts afterdead stores this can lead to tracked unreferenced arguments tolerate thisduring codegen
347639351,19290,https://api.github.com/repos/dotnet/coreclr/issues/19290,BruceForstall,1,0,0,0,0,0,fixes
347536569,19279,https://api.github.com/repos/dotnet/coreclr/issues/19279,scalablecory,1,0,0,0,0,0,id like the jit to detect when one branch leads to another branch and fold them into a single branch.im sure this optimization has a specific name in compiler theory but i dont know it if youll excuse a dumb example: int initialbranching(string x if x foo return if x bar return if x baz return return string subsequentbranching(string x int y initialbranching(x if y return x if y return x return other;} here a sufficiently advanced compiler should be able to transform this into something like: string folded(string x if x foo goto zero if x bar goto zero if x baz goto one goto other zero return x one return x other return other;} why? obviously the dumb example is not what im actually doing for performance purposes im updating a text parser from depending on char to be encoding-agnostic in some places it needs to allow injecting inlineable sub-parsers that handles encoding-specific things returns length of newline if matched if not matched if more data is needed.int isnewline(readonlyspan
347526227,19278,https://api.github.com/repos/dotnet/coreclr/issues/19278,tannergooding,1,0,0,0,0,0,this updates the templated x hwintrinsic tests to print out the issupported status for each isa in order to help diagnose the state of ci machines in the case of failure
347093498,19251,https://api.github.com/repos/dotnet/coreclr/issues/19251,tannergooding,1,0,0,0,0,0,this marks the hwintrinsic types as readonly this allows the c compiler to assume the type is immutable and it can then perform certain optimizations when used in the context of other readonly types fields etc
345924137,19203,https://api.github.com/repos/dotnet/coreclr/issues/19203,fiigii,2,0,0,0,0,0,during benchmarking aos/soa ray-tracer we found that the vector benchmark raytracer is much slower on windows than linux execution time windows linux baseline raytracer s s packettracer s s performance gains x x according to vtune analysis this gap is caused by the crt math library which raytracer uses math.pow at windows! image linux! image the left side aos means raytracer we can see ucrtbase.dll on windows has much more time consuming and instruction retired than libm-..so on linux.the data is collected on core i vs but core i vs has the same performance gap
