issueId,issue_number,url,user,like,dislike,laugh,hooray,confused,heart,body
346410456,3280,https://api.github.com/repos/material-components/material-components-web/issues/3280,williamernest,1,0,0,0,0,0,the floating label on the outlined text field should align with the input text.current state:! image state image
345758226,3258,https://api.github.com/repos/material-components/material-components-web/issues/3258,kaieong,1,0,0,0,0,0,correct the grammar in running tests across browser section in contributing.md
344948570,3236,https://api.github.com/repos/material-components/material-components-web/issues/3236,mustafa-x,2,0,0,0,0,0,i have a few buttons on screen and would like to add a ripple effect to them all by doing something like rippleelements document.queryselectorall(.foo-button)mdc.ripple.mdcripple.attachto(rippleelements); but sadly this doesn;t work and i am forced to do; var step;var button for step step step button button+step mdc.ripple.mdcripple.attachto(document.queryselector(button));} can we add queryselectorall here is a working example on codepen
343432886,3172,https://api.github.com/repos/material-components/material-components-web/issues/3172,bonniezhou,1,0,0,0,0,0,mdc-text-field-outline-corner-radius($radius mixin doesnt exist though its in the readme).currently corner radius for the outlined text field is set with a mdc-text-field-outline-corner-radius private mixin which calls mdc-notched-outline-corner-radius we should make it public similar to what we have for box and textarea so users dont need to call notched-outline mixins to change the text field corner radius
340864641,3062,https://api.github.com/repos/material-components/material-components-web/issues/3062,jalfcolombia,0,0,0,0,1,0,hola a todosespero esto en realidad sirva de algo pero con la ayuda que dan es totalmente imposible hacer algo productivo.se pierde mucho tiempo tratando de hacer correr algo por qu no hacen las cosas fciles como las ayudas de bootstrap o eso si funciona con solo pegar el cdigo.solo pude hacer andar el textfield despues de minutos de lectura y el ripple del botn despues de horas de lectura no logr nada. htmlinput labelbutton
334275515,2972,https://api.github.com/repos/material-components/material-components-web/issues/2972,endigo9740,1,0,0,0,0,0,what mdc web version are you using what are the steps to reproduce the bug? view the mdc menu readme here the javascript instructions include the following instantiation var menu new mdc.menu.mdcmenu(menuel new mdc.menu.mdcmenu(menuel cannot be instantiated without importing an external module which is not provided this is done on other components such as the ripple effect on the button component: import mdcripple from material/ripple;const buttonripple new mdcripple(document.queryselector(.mdc-button what is neededplease provide the missing import statement or clarify how this is supposed to work thanks
333331140,2949,https://api.github.com/repos/material-components/material-components-web/issues/2949,kfranqueiro,1,0,0,0,0,0,what mdc web version are you using?v..x what browser(s is this bug affecting?all what are the steps to reproduce the bug load hover over an unselected radio button what is the expected behavior?the hover color should be a semitransparent version of the unselected radio outline color what is the actual behavior?the hover color is a semitransparent version of the selected radio outline/dot color any other information you believe would be useful?were presumably applying a single states color unconditionally right now.moreover im unsure if theres a graceful way of accomplishing this given that it needs to select on the before and after pseudo-elements of the parent element of the input but is dependent on the checked state of the child input.maybe im missing something but fixing this might require restructuring the dom for checkbox and radio
330472742,2906,https://api.github.com/repos/material-components/material-components-web/issues/2906,moog16,0,0,0,1,0,0,related new navigation drawer according to spec the drawer and the content outside of the drawer should independently scroll in pr the height of the page is set to which disables window scroll the top app bar on the other hand is listening to the window scroll event which never fires my proposed solution is to add a method to the top app bar that deregisters the scroll handler on the window and registers a new scroll handler with a different target element
330003582,2891,https://api.github.com/repos/material-components/material-components-web/issues/2891,RedTech64,0,0,0,0,1,0,bugsthe mdcchipset.addchip function is broken in what mdc web version are you using what browser(s is this bug affecting?chrome what os are you using?windows what are the steps to reproduce the bug create a mdcchipset invoke the mdcchipset.addchip function what is the expected behavior?a chip to be added to the chip set what is the actual behavior?an error is given:uncaught typeerror cannot read property queryselector of undefined any other information you believe would be useful?after reverting back to this error doesnt occur
328757072,2865,https://api.github.com/repos/material-components/material-components-web/issues/2865,dessant,1,0,0,0,0,0,it appears the images are laid out vertically from top to bottom this may not be the most common or expected stacking order and the design guidelines seem to imply that the order is ltr or rtl
326163355,2802,https://api.github.com/repos/material-components/material-components-web/issues/2802,nfriend,5,0,0,0,0,0,what mdc web version are you using what browser(s is this bug affecting?chrome version official build bit)user agent mozilla windows nt win x applewebkit khtml like gecko chrome safari what os are you using?windows pro version build what are the steps to reproduce the bug?build a form that includes a mdc-text-field submit the form using chrome open the form again and enter the same information allowing chrome to autofill the form values what is the expected behavior?the autofill style should not obscure the text field control what is the actual behavior?the yellow autofill background that is applied to the controls obscures the outline and the floating text label here is a screenshot demonstrating this behavior:! image reference here is what the form looks like without the autofill styling applied:! image
325221943,2787,https://api.github.com/repos/material-components/material-components-web/issues/2787,YuilTripathee,2,0,0,0,0,0,feature requestsfor a beginner it would be easy to start on with some sample sites made with mdc web its been difficult to figure out the layout and basically the material design and how it can be implemented
325202461,2786,https://api.github.com/repos/material-components/material-components-web/issues/2786,aleehedl,1,0,0,0,0,0,i would hope to be able to override the mdc-button variables defined in since default is not used the variables cant be overridden easily is this by design or can i submit a pr
325066323,2784,https://api.github.com/repos/material-components/material-components-web/issues/2784,lynnjepsen,1,0,0,0,0,0,spec shows px from top of box to baseline of label and then px from baseline of label to baseline of text our component shows px from top of box to baseline of label and then px from baseline of label to baseline of text! image actually think the spec might be wrong it seems a bit tight on the spacing
325064812,2783,https://api.github.com/repos/material-components/material-components-web/issues/2783,lynnjepsen,1,0,0,0,0,0,the spec shows px from bottom of text field to baseline of helper text our mdc-text-field looks like this:! image
325059904,2781,https://api.github.com/repos/material-components/material-components-web/issues/2781,namannehra,1,0,0,0,0,0,invalid input in number fields reports its value as an empty string this value is used to check if label should float this results in label not floating when invalid input is present this commit changes shouldfloat to check for badinput too badinput is true if invalid input present so the label floats correctly
324506972,2761,https://api.github.com/repos/material-components/material-components-web/issues/2761,lynnjepsen,0,0,0,1,0,0,we had logic in our mdcchipsetfoundation to add and remove html from the dom this is difficult for mdc web to maintain so we need to remove that logic...but we need our wrapping libraries like react to handle adding/removing html from the dom so our foundation needs to be workable with wrapping libraries
322549711,2735,https://api.github.com/repos/material-components/material-components-web/issues/2735,rhroyston,6,0,0,0,0,0,first mdc-web is looking great great progress!on the individual component demo pages e.g slider viewing page source shows uglified code ideally one should be encouraged to view the page source for further instruction on how to stand these components up please do not uglify or obfuscate the demo code pretty print the html and use es scripting the kiss principle you
322244512,2732,https://api.github.com/repos/material-components/material-components-web/issues/2732,gjdev,1,0,0,0,0,0,the changelog of this project does not include the following commits even though they made it into a release aaddeefceabcedc dabceddffbfbdeethis is probably because they use refactor is label which is not recognized?anyway these commits should be in the changelog for the release by the way they also contain breaking changes which are not labeled as such in the commit message
322172614,2731,https://api.github.com/repos/material-components/material-components-web/issues/2731,lozandier,2,0,0,0,0,0,for the sake of maximizing the capabilities of the web platform associated with typography flexibility by components to react to different font sizes within their boundaries common in rwd flows improved ability to establish vertical rhythm improved accessibility so on it seems to make sense to suggest material web components recently updated to use rem em units instead of px units for the sake of perhaps dev convenience there may be value leaving pixel values as comments or using a pxtoeem function common in popular css frameworks such as foundation bootstrap: sass@mixin mdc-button__icon include mdc-rtl-reflexive-box(margin right px display inline-block width px height px font-size px vertical-align top;} changes to sass base font size is px the default of all major browsers material-components-web supports@mixin mdc-button__icon include mdc-rtl-reflexive-box(margin right rem px display inline-block width em px height em px font-size rem px vertical-align top;} or sass note conventional pxtoem funcs accept both px using sasss type-of or other sass meta-programing features@mixin mdc-button__icon include mdc-rtl-reflexive-box(margin right pxtorem display inline-block width pxtoem height pxtoem font-size pxtorem vertical-align top;} alternatively but not ideal would be the ability to override every value currently using pixels with css variables such as mwc-icon-button-height .this seems messy and would be a pain for intermediate advanced components that would seemingly only be alleviated once the css shadow parts proposal lands for at least the web components port of the recently updated components.with material components recently updated to be more customizable it leaves an opportunity for this change to finally be done to conform with ideal application of font-sizes padding spacing that web platform enables better than what is enabled by pixels in contexts where typography-based-sizing is n/a percentages or viewport units should ideally be used instead of pixels such as vh vw for more out-of-the-box flexibility commonly an issue with the initial release of material design components for the web when web creatives inevitably want to realize designs with the components in a responsive web design manner rather than an adaptive web design manner indirectly enforced with the fixed units used by the styles of existing components
322129322,2730,https://api.github.com/repos/material-components/material-components-web/issues/2730,john-fenton,1,0,0,0,0,0,material.io icon sheet no longer shows numeric character references for icons only displays ligatures in the ie and below section modern browsers-->check_boxcheck_box please fix and also supply an interim reference sheet
321771097,2723,https://api.github.com/repos/material-components/material-components-web/issues/2723,acdvorak,0,0,0,0,0,1,how to test bashexport cbt_username=...export cbt_authkey=...export mdc_gcloud_service_account_key_file_path no diffsnpm run screenshot:buildnpm run screenshot:test lots of diffsecho mdc-button:not(:disabled){color:red packages/mdc-button/mdc-button.scssecho mdc-button:disabled{margin-left:px packages/mdc-button/mdc-button.scssnpm run screenshot:buildnpm run screenshot:test what it does generates a report file containing all diff images uploads the report file to gcs adds a diffreporturl field to golden.json in npm run screenshot:update-goldens example output with diffs without diffs
321686089,2722,https://api.github.com/repos/material-components/material-components-web/issues/2722,acdvorak,1,0,0,0,0,0,how to test bashexport cbt_username=...export cbt_authkey=...export mdc_gcloud_service_account_key_file_path no diffsnpm run screenshot:buildnpm run screenshot:test mdc-include-url=mdc-fab mdc-diff-base=head diffsecho mdc-fab:not(:disabled){color:red packages/mdc-fab/mdc-fab.scssecho mdc-fab:disabled{margin-left:px packages/mdc-fab/mdc-fab.scssnpm run screenshot:buildnpm run screenshot:test mdc-include-url=mdc-fab mdc-diff-base=head what it does adds screenshot test pages for baseline and mini fabs fixes image cropping once and for all uses a distinctive px border of abc instead of a background color adds bottom padding to the body to prevent chromeless screenshots from being cut off successfully removes edges stupid browser chrome adds mdc-diff-base cli arg and displays it in the report metadata waits seconds before capturing screenshots to avoid icon font loading problems ie bugthis test shows that the fab icon is misaligned in ie chrome! image ie image example output report.html
321672257,2721,https://api.github.com/repos/material-components/material-components-web/issues/2721,williamernest,1,0,0,0,0,0,if you dont have a navigation icon the top app bar fails to instantiate the permanent drawer example is a good use case for having a top app bar without a menu/navigation icon
321427569,2718,https://api.github.com/repos/material-components/material-components-web/issues/2718,devvercer,3,0,0,0,0,0,i theme with custom properties but my primary colour is not used for the focused label.this fixes it locally:.mdc-text-field--focused:not(.mdc-text-field--disabled mdc-floating-label color var(--mdc-theme-primary
320324361,2704,https://api.github.com/repos/material-components/material-components-web/issues/2704,williamernest,2,0,0,0,0,0,missed a change to mobile fixed-adjust class with resolves
318734952,2679,https://api.github.com/repos/material-components/material-components-web/issues/2679,sixro,1,0,0,0,0,0,hi not an issue per se but a feedback.i used getmdl.io in the past and i was really impressed by the productivity i had in just one evening i was able to create a draft website.with this version i started to have some issues.the last issue is with card but it is just an example).i was trying to add a card checking the demo at the beginning it seems simple as getmdl.iounfortunately the cards were not appearing like the demo and investigating the demo i found so many css customization with those demo styles that it was basically impossible to understand what it is doing only on that specific card component.my cents
317293575,2639,https://api.github.com/repos/material-components/material-components-web/issues/2639,jimbojetlag,10,0,0,0,0,1,please find below my comments and questions about the mdc web these did not feel right to be published on stackoverflow as so comes with the high risk of mods flagging questions like this i am writing this as after a long research on which md implementation to use for our user facing web app our team ended up being frustrated with the approach of google about making many projects that seem to have the same functionality only to kill some of them in the future mdc web tries to be framework agnostic just like mdl yes there are advantages when doing this but they come with this major major drawback developing new components is difficult time consuming and error prone there is no easy way of state managements no templating all the advances in virtual dom are ignored in our opinion this is exactly what killed mdl and i do not see why it shouldnt kill mdc web too mdc web was published back in december it is a paid project backed by google and a dedicated team yet after over a year the implemented components are really incomplete comparing to many md implementation out in the wild by single unpaid developers i refer you to point for one of the reasons behind mdc web progress being slow what is the target product for mdc web is it web applications or websites if its for websites then mdc web is just a rewrite of mdl if its for web applications how are we web app developers supposed to use mdc web for non trivial apps i can see some authors of the project recommend using mdc web in parallel with other frameworks every major framework out there now comes with a mature md implementation and override mdc web components why would we use an md library in react and then opt to say use text field component of mdc which google products use mdc web one of the major drivers of making progress with the components is when the library is used in real world products
316296850,2608,https://api.github.com/repos/material-components/material-components-web/issues/2608,ricardobrandao,1,0,0,0,0,0,feature requestsadd option to disable or override the escape keydown handler as of now a document keydown handler is being added in the mdcslidabledrawerfoundation that closes the drawer when the escape key is pressed.currently if a persistent drawer and a dialog are open when the user tries to close the dialog by pressing the escape key both the dialog and the drawer will be closed what mdc web version are you using what is the expected behavior clicking the escape key should not close the drawer what is the actual behavior clicking the escape key anywhere closes the drawer any other information you believe would be useful?you can check the demo in this codepen in order to reproduce follow the following steps open the drawer open the dialog press the escape key
316045361,2603,https://api.github.com/repos/material-components/material-components-web/issues/2603,danfascia,1,0,0,0,0,0,why is an mdc drawer a fixed px width regardless of device?it seems crazy that its so small on an xl desktop screen and it puts me off using the component in favour of my own push drawer.if i override the fixed px width with a percentage in the scss does that work for all of the animation calculations
313912421,2561,https://api.github.com/repos/material-components/material-components-web/issues/2561,kfranqueiro,0,0,0,1,0,0,one of our designers noticed that some of our text fields looked like they were animating their labels slower than others.currently floating-label defaults to ms duration and were overriding it for outlined text field to ms.all three types of text fields should be transitioning at ms for each direction
313111934,2552,https://api.github.com/repos/material-components/material-components-web/issues/2552,djensen47,9,0,0,0,0,0,recently the mdc-select component was regressed to only allow native select the technical reasons are reasonable but this left the community without a reasonable looking menu-style select the native select works but has a very inconsistent look and feel what i propose is two separate components for select components mdc-select-menu this would be the removed component that was based on the mdc-menu mdc-select-native the native select that we have nowas others have pointed out this change is discouraging to both current and would be users of this library please allow developers to decide which component is best for their use case.thanks for listening to my proposal lastly i can never give enough thanks to the team and contributors for building and maintaining this great library in the first place so thank you again
312987820,2545,https://api.github.com/repos/material-components/material-components-web/issues/2545,pgbross,1,0,0,0,0,0,what mdc web version are you using what browser(s is this bug affecting chrome version official build beta bit what os are you using fedora workstation fc.x what are the steps to reproduce the bug run a page with a snackbar and a button to show it set snack data to have action hanndler that opens a window target blank show snackbar follow action wait for new window to render go back to original tab wait for timeouts behind the scene to complete show snackbar observe action button is missing and is never dismissed see codepen for example what is the expected behavior when the snackbar cleans itself up it should it may need to be aware the window.transitionend isnt captured or otherwise guard against it not happening at the right time what is the actual behavior the foundation cleanup method appears to be called multiple times without a transitionend actually occuring any other information you believe would be useful?if you use the codepen above and experiment with the timing of when you press the show button relative to when you return from the newly opened tab you will see other effects such as the next snackbar being dismissed well before its expected timeout
311752165,2521,https://api.github.com/repos/material-components/material-components-web/issues/2521,acdvorak,0,0,0,1,0,0,fixes the sauce_username and sauce_access_key environment variables are now stored in our travis ci project settings
310747738,2498,https://api.github.com/repos/material-components/material-components-web/issues/2498,pgbross,2,0,0,0,0,0,latest release material-components-web v appears to be missing material/tab dependency in the npm registry. npm i material-components-web@.. throws error npm err code enpm err not found material/tab
310233681,2493,https://api.github.com/repos/material-components/material-components-web/issues/2493,MrChriZ,1,0,0,0,0,0,is there any kind of news feed/project status page for this project?i see toolbar is being deprecated is there somewhere that things like this are being announced
308967076,2471,https://api.github.com/repos/material-components/material-components-web/issues/2471,QJan84,1,0,0,0,0,0,see closed)i have the same problem.i have an input free user input in a mdcselect menu and can also enter here no space.---! select-input
308616828,2459,https://api.github.com/repos/material-components/material-components-web/issues/2459,kfranqueiro,0,0,0,2,0,0,fixes fixes node-sass is now public on npm and still causes the same problem that people had previously experienced.the cause is actually an intentional change in sass the way css variables are handled has changed to better correspond to the css spec they no longer allow arbitrary sassscript in their values instead almost all text in the property values will be passed through unchanged to css the only exception is which will inject a sassscript value as before.the solution is therefore to explicitly use around values of css custom properties that use sassscript expressions the only place i noticed us using sassscript expressions for a css custom property value is the instance in the mdc ripple mixins that caused both and i compared the output before/after this fix vs master the only other difference between this branch and master is that libsass apparently changed how they split multiple selectors i.e comma-separated in the output theyre now split to one per line rather than all on one line
