issueId,issue_number,url,user,like,dislike,laugh,hooray,confused,heart,body
349181771,21518,https://api.github.com/repos/tensorflow/tensorflow/issues/21518,skeydan,2,0,0,0,0,0,system information have i written custom code as opposed to using a stock example script provided in tensorflow no os platform and distribution e.g linux ubuntu linux fedora mobile device e.g iphone pixel samsung galaxy if the issue happens on mobile device n/a tensorflow installed from source or binary source tensorflow version use command below python version bazel version if compiling from source gcc/compiler version if compiling from source cuda/cudnn version gpu model and memory quadro m g exact command to reproduce bazel build config=opt config=cuda tensorflow/tools/pip_package:build_pip_packagehi a recent checkout of master hours ago fails for me with error home/key/code/tensorflow/tensorflow/build executing genrule tensorflow:tensorflow_python_api_gen failed exit home/key/anaconda/lib/python./site-packages/hpy/__init__.py futurewarning conversion of the second argument of issubdtype from float to np.floating is deprecated in future it will be treated as np.float np.dtype(float).type from conv import register_converters as register_converterstraceback most recent call last file home/key/.cache/bazel/_bazel_key/decdfcfeceffadffb/execroot/org_tensorflow/bazel-out/host/bin/tensorflow/create_tensorflow.python_api.runfiles/org_tensorflow/tensorflow/python/tools/api/generator/create_python_api.py line in module from tensorflow.python.tools.api.generator import doc_srcs file home/key/.cache/bazel/_bazel_key/decdfcfeceffadffb/execroot/org_tensorflow/bazel-out/host/bin/tensorflow/create_tensorflow.python_api.runfiles/org_tensorflow/tensorflow/python/__init__.py line in module from tensorflow.python import keras file home/key/.cache/bazel/_bazel_key/decdfcfeceffadffb/execroot/org_tensorflow/bazel-out/host/bin/tensorflow/create_tensorflow.python_api.runfiles/org_tensorflow/tensorflow/python/keras/__init__.py line in module from tensorflow.python.keras import applications file home/key/.cache/bazel/_bazel_key/decdfcfeceffadffb/execroot/org_tensorflow/bazel-out/host/bin/tensorflow/create_tensorflow.python_api.runfiles/org_tensorflow/tensorflow/python/keras/applications/__init__.py line in module import keras_applicationsmodulenotfounderror no module named keras_applicationstarget tensorflow/tools/pip_package:build_pip_package failed to builduse verbose_failures to see the command lines of failed build steps.info elapsed time s critical path sinfo processes local.failed build did not complete successfully could you please advise
349060365,21515,https://api.github.com/repos/tensorflow/tensorflow/issues/21515,EdwardLin2014,1,0,0,0,0,0,"system information have i written custom code as opposed to using a stock example script provided in tensorflow no os platform and distribution e.g linux ubuntu linux ubuntu server window mobile device e.g iphone pixel samsung galaxy if the issue happens on mobile device tensorflow installed from source or binary binary tensorflow version use command below v..--gbce v..--gce python version bazel version if compiling from source gcc/compiler version if compiling from source cuda/cudnn version v gpu model and memory nvidia tesla v-sxm-gb nvidia geforce gtx ti gb exact command to reproduce source code logs import tensorflow as tfimport numpy as np define tensorflow wrapperprint(define tensorflow wrapper......)def weight_variable(shape create a bias variable with appropriate initialization initial tf.constant shape=shape return tf.variable(initial)def bias_variable(shape create a bias variable with appropriate initialization initial tf.constant shape=shape return tf.variable(initial)def initialize_variable(shape name with tf.name_scope(name layer with tf.name_scope(weights weights weight_variable(shape with tf.name_scope(biases biases bias_variable( ,shape return weights biasesdef convdlayer(inputs weights biases name act=tf.nn.relu preactivate tf.nn.convd(inputs weights strides padding=valid data_format=nchw dilations name=convd biases return act(preactivate name=activation)def max_pool_x(x name return tf.nn.max_pool(x ksize strides padding=valid data_format=nchw name=name create neural networkprint(create neural network initial trainable parametersconvw,convb initialize_variable( ,,, ,conv)convw,convb initialize_variable( ,,, ,conv)convw,convb initialize_variable( ,,, ,conv)convw,convb initialize_variable( ,,, ,conv)fcw,fcb initialize_variable( ,,, ,fc)fcw,fcb initialize_variable( ,,, ,fc)fcw,fcb initialize_variable( ,,, ,fc placeholder for input and outputx tf.placeholder(tf.float none,,,none name=xinput)y tf.placeholder(tf.float none,,,none name=yinput architectureconv convdlayer(x,convw,convb,conv)conv convdlayer(conv,convw,convb,conv)maxpool max_pool_x(conv,maxpool)conv convdlayer(maxpool,convw,convb,conv)conv convdlayer(conv,convw,convb,conv)maxpool max_pool_x(conv,maxpool)fc convdlayer(maxpool,fcw,fcb,fc)fc convdlayer(fc,fcw,fcb,fc)y convdlayer(fc,fcw,fcb,fc,act=tf.identity define losscrossentropy tf.nn.sigmoid_cross_entropy_with_logits(labels=y logits=y name=crossentropy)lossvalue tf.reduce_mean(crossentropy name=lossvalue define optimizer#optimizer tf.train.adadeltaoptimizer(learning_rate=.,rho=.,epsilon=e-,use_locking=false,name=adadelta)#optimizer tf.train.adagradoptimizer(learning_rate=.,initial_accumulator_value=.,use_locking=false,name=adagrad)#optimizer tf.train.adamoptimizer(learning_rate=.,beta=.,beta=.,epsilon=e-,use_locking=false,name=adam)#optimizer tf.train.momentumoptimizer(learning_rate momentum name=nestrov use_nesterov=true)optimizer tf.train.gradientdescentoptimizer(learning_rate name=gradientdescent)gvs optimizer.compute_gradients(lossvalue)train_step optimizer.apply_gradients(gvs illustrate compute_gradients random issueprint(load x and y input......)data np.load(testgrad.npz)xinput data x yinput data y print(session with tf.session as sess sess.run(tf.global_variables_initializer lossvalue_eval gvs_eval sess.run( lossvalue,gvs feed_dict={x:xinput,y_:yinput sess.run(train_step feed_dict={x:xinput,y_:yinput lossvalue_eval gvs_eval sess.run( lossvalue,gvs feed_dict={x:xinput,y_:yinput sess.close()print(session with tf.session as sess sess.run(tf.global_variables_initializer lossvalue_eval gvs_eval sess.run( lossvalue,gvs feed_dict={x:xinput,y_:yinput sess.run(train_step feed_dict={x:xinput,y_:yinput lossvalue_eval gvs_eval sess.run( lossvalue,gvs feed_dict={x:xinput,y_:yinput sess.close()print(--------------------------------------------------)print(check whether they have the same values in each session)print(before training print(lossvalue r all(lossvalue_eval==lossvalue_eval))check_gvs_bt np.zeros((,))for i in range for j in range check_gvs_bt i j all(gvs_eval i j gvs_eval i j )print(gvs r all(check_gvs_bt))print(after training print(lossvalue r all(lossvalue_eval==lossvalue_eval))check_gvs_at np.zeros((,))for i in range for j in range check_gvs_at i j all(gvs_eval i j gvs_eval i j )print(gvs r all(check_gvs_at))tf.reset_default_graph describe the problemby executing the above code with the fixed training instance and label which you can download from we can see that the gradient value computed by compute_gradients gvs_eval gvs_eval are not always the same in each session this happens regardless which optimizer you use.correct me if i have made some stupid mistake in this code as i have tried simple network architecture for example training y weight x and compute_gradients seems to be working fine"
348929614,21499,https://api.github.com/repos/tensorflow/tensorflow/issues/21499,nmoran,1,0,0,1,0,0,this pull request addresses issues encountered when trying to build tensorflow with cuda support on debian based systems stretch and buster)the current tensorflow build process does not work with the debian maintained cuda packages this is because there are some differences in the paths where the libraries are installed.summary of changes update to configure.py to search cuda_root>/lib/x_-gnu-linux for libcudart in addition to cuda_root>/lib update to bazel configure script to find cupti header and library update to bazel configure script to find nvvm device files
348904395,21491,https://api.github.com/repos/tensorflow/tensorflow/issues/21491,shoyer,2,0,0,0,0,0,system information tensorflow version use command below unknown rc python version arithmetic between objects with different dtypes only works with python scalars not tensors this works tf.constant tf.tensor id shape dtype=float numpy this doesnt tf.constant tf.constant()invalidargumenterror cannot compute mul as input was expected to be a int tensor but is a float tensor op:mul name mul describe the problemnumpy has well defined casting rules for converting between dtypes if an operation cannot be performed natively on the given dtypes e.g np.add between float and float then one or more of the inputs will be promoted to a higher data-type e.g float float.this is highly convenient and remains one of the major annoyances when porting numpy code to tensorflow tensorflow code ends up littered with calls to tf.cast its particularly annoying for any use-cases that require types other than float e.g models that use complex numbers because you cant simply cast every argument to float.an argument for not implementing this would be that tensorflow strives to be more explicit than numpy and this could lead to unintended performance degradation but im struggling to imagine cases where this would actually be the case its also easy to avoid by using explicit casting on everything which could still be utilized by users who concerned about it there are lots of areas where numpy got things wrong by being undisciplined e.g indexing rules but i have not heard any complaints about this one
348509238,21461,https://api.github.com/repos/tensorflow/tensorflow/issues/21461,nmerino,3,0,0,0,0,0,system information have i written custom code as opposed to using a stock example script provided in tensorflow yes os platform and distribution e.g linux ubuntu ubuntu mobile device e.g iphone pixel samsung galaxy if the issue happens on mobile device tensorflow installed from source or binary binary tensorflow version use command below python version bazel version if compiling from source gcc/compiler version if compiling from source cuda/cudnn version gpu model and memory exact command to reproduce bazel run hello_worldinfo build options have changed discarding analysis cache.info analysed target hello_world packages loaded).info found target...target hello_world up-to-date bazel-bin/hello_worldinfo elapsed time s critical path sinfo process local.info build completed successfully total actionsinfo build completed successfully total actionstraceback most recent call last file home/nmerino/.cache/bazel/_bazel_nmerino/daafedbbdceea/execroot/__main__/bazel-out/k-fastbuild/bin/hello_world.runfiles/__main__/hello_world.py line in module import tensorflow as tfimporterror no module named tensorflow describe the problemhey there im trying to import tensorflow in my current project which use bazel as its build tool for some reason bazel cannot find tensorflow even though it is specified in the requirements file as bazel is the building tool for tensorflow and also gaining popularity in the community i would like if you could help me solving this issue._just in case you are wondering im not trying to use tensorflow to infer stuffs rather to serialize data to tfrecords source code logs hello_world.py import tensorflow as tfmsg tf.constant(hello world!)with tf.session as sess print sess.run(msg) workspace git_repository name io_bazel_rules_python remote commit deffaecfbadceaf)load io_bazel_rules_python//python:pip.bzl pip_repositories pip_import)pip_repositories()pip_import name pip requirements requirements.txt)load pip//:requirements.bzl pip_install pip_install)pip_install() build.bazel package(default_visibility visibility:public )load pip//:requirements.bzl requirement)load io_bazel_rules_python//python:python.bzl py_binary py_library)py_binary name hello_world srcs hello_world.py deps requirement(tensorflow requirements.txt tensorflow
348258948,21440,https://api.github.com/repos/tensorflow/tensorflow/issues/21440,Kayoku,1,0,0,0,0,0,"hi,im working on a fcn fully convolutional network and wanted to make it work on mobile the advantage of this type of network is that we can use any dimensions as input the network still work for example an image x or x or x...)tflite allow us to convert a freezed graph pb to tflite format tflite but we need to put a fixed size for input_shape bazel-bin/tensorflow/contrib/lite/toco/toco input_file=frozen.pb input_format=tensorflow_graphdef output_format=tflite output_file=/tmp/test.tflite inference_input_type=float input_arrays=input_image output_arrays=output_image input_shapes=, , ,and this what i would like bazel-bin/tensorflow/contrib/lite/toco/toco input_file=frozen.pb input_format=tensorflow_graphdef output_format=tflite output_file=/tmp/test.tflite inference_input_type=float input_arrays=input_image output_arrays=output_image input_shapes=, none,none ,im wondering if anyone is working on this feature because i think it can be very useful for a lot of people.thank you for your time and sorry if i duplicate any thread i didnt find this feature request"
348023929,21414,https://api.github.com/repos/tensorflow/tensorflow/issues/21414,sauronpy,0,0,1,0,0,0,hi there..my wife got a meticulous problem in the official logo of tensorflow.see the logo t of the logo its have column but in shadow its have column.corroct it.we also accept any gift for that
347266116,21354,https://api.github.com/repos/tensorflow/tensorflow/issues/21354,annemenini,1,0,0,0,0,0,fix issue the following tests passed on mac rebuilding the python package and executing the test case from the issue above with docker and tensorflows ci scripts tensorflow/core:framework_tensor_test tensorflow/core:lib_strings_strcat_test clang-format was used to verify the c coding style.note that it is my first pull request in this project so let me know if anything is missing
347238572,21350,https://api.github.com/repos/tensorflow/tensorflow/issues/21350,wenmengzhou,1,0,0,0,0,0,try to implement throttle_step settings discussed in using throttle_step to trigger evaluation can be more robust to different gpu load
346869480,21326,https://api.github.com/repos/tensorflow/tensorflow/issues/21326,kishore0905,0,0,0,0,1,0,please go to stack overflow for help and support you open a github issue here is our policy it must be a bug a feature request or a significant problem with documentation for small docs fixes please send a pr instead the form below must be filled out it shouldnt be a tensorboard issue those go here why we have that policy tensorflow developers respond to issues we want to focus on work that benefits the whole community e.g fixing bugs and adding features support only helps individuals github also notifies thousands of people when issues are filed we want them to see you communicating an interesting problem rather than being redirected to stack overflow system information have i written custom code as opposed to using a stock example script provided in tensorflow) :no os platform and distribution e.g linux ubuntu windows mobile device e.g iphone pixel samsung galaxy if the issue happens on mobile device :nope tensorflow installed from source or binary) :source tensorflow version use command below python version bazel version if compiling from source) :dont know gcc/compiler version if compiling from source cuda/cudnn version gpu model and memory geforce gtx ti exact command to reproduce :you can collect some of this information using our environment capture script can obtain the tensorflow version withpython c import tensorflostackoverfloww as tf print(tf.git_version tf.version describe the problemdescribe the problem clearly here be sure to convey here why its a bug in tensorflow or a feature request.i am running this neural translation application i made some changes here to store the model as checkpoints so that everytime i dont want to again train the application it works fine in windows gpu system.when i run the same code in cpu system its giving different result i checked the versions and environment everything is same.how could i solve this issue source code logsinclude any logs or source code that would be helpful to diagnose the problem if including tracebacks please include the full traceback large logs and files should be attached try to provide a reproducible test case that is the bare minimum necessary to generate the problem
