issueId,pos,neg,reaction_pos,reaction_neg,reaction
282130338,1,-1,45,0,45
263231250,2,-1,30,0,30
218093460,2,-1,26,0,26
214932950,3,-2,21,15,6
193199887,2,-1,20,0,20
185007124,3,-4,36,0,36
177500388,2,-1,35,0,35
143562478,2,-2,11,0,11
118516157,1,-1,11,0,11
116784293,2,-1,42,0,42
348504686,2,-1,15,0,15
337322851,2,-3,20,3,17
336676164,2,-2,17,0,17
333503435,2,-2,22,0,22
325055952,2,-1,23,0,23
308123249,1,-1,17,0,17
301609142,1,-2,10,0,10
300109510,1,-2,17,0,17
299997055,2,-2,69,0,69
295978234,1,-1,68,0,68
295647103,2,-3,11,0,11
294266148,3,-2,12,0,12
289609142,2,-2,19,0,19
285251828,3,-1,26,0,26
283850761,2,-2,22,0,22
280017638,3,-2,20,0,20
273102313,1,-2,14,0,14
272359992,2,-1,17,0,17
268725296,1,-1,25,0,25
268156588,2,-1,172,0,172
265143375,1,-2,31,0,31
263278583,3,-2,11,0,11
263193934,2,-2,11,0,11
262274417,2,-3,30,0,30
261916154,1,-1,10,0,10
260035057,2,-3,11,0,11
258193442,3,-2,20,0,20
253186275,2,-1,46,0,46
252105122,1,-2,28,0,28
251679769,3,-1,13,0,13
250164104,3,-2,26,0,26
249125216,2,-2,12,0,12
248273591,2,-1,32,0,32
247856867,3,-2,147,0,147
247775319,3,-1,35,0,35
246749516,2,-2,25,0,25
244869091,1,-1,10,0,10
242095119,2,-2,10,0,10
240240264,2,-3,39,0,39
240013606,2,-1,9,29,-20
238009458,2,-2,11,0,11
237362240,2,-2,89,0,89
232790084,2,-1,16,0,16
231434838,2,-3,41,0,41
231244905,1,-2,11,0,11
229133158,2,-1,10,0,10
228900963,1,-1,10,0,10
228750833,1,-1,14,0,14
228365329,1,-3,32,0,32
226851695,3,-2,3,27,-24
224144933,3,-2,40,0,40
221253389,2,-2,16,0,16
220670310,2,-2,63,9,54
219966835,2,-1,51,0,51
218014050,1,-1,14,0,14
217698118,2,-2,67,0,67
216998643,1,-2,40,0,40
214247347,4,-3,22,0,22
213540851,2,-2,18,0,18
206623432,1,-2,14,0,14
206307596,1,-2,15,0,15
203008114,2,-2,146,0,146
202896611,1,-2,18,0,18
200489771,2,-2,62,6,56
199708826,2,-1,13,0,13
198983558,1,-1,16,0,16
198021032,1,-1,11,0,11
197745608,2,-2,12,0,12
195678863,1,-2,30,0,30
194489620,2,-2,29,0,29
193917842,1,-1,19,0,19
193779675,2,-2,13,0,13
193444879,2,-1,18,0,18
192616175,1,-3,51,0,51
189926441,2,-1,10,0,10
189265256,2,-2,30,0,30
188995654,2,-2,18,0,18
188341116,2,-3,65,0,65
185380212,3,-1,12,0,12
183145572,3,-2,17,0,17
181508226,2,-3,17,0,17
181500394,3,-2,17,0,17
180085476,2,-2,11,0,11
179048568,3,-2,10,0,10
179010282,3,-2,55,0,55
178015134,1,-2,20,0,20
177819974,1,-2,18,0,18
176108956,2,-2,13,0,13
173802177,2,-3,42,0,42
173740437,1,-2,16,0,16
172281261,3,-2,13,0,13
170996032,1,-2,46,0,46
168926668,1,-2,10,0,10
168551155,3,-2,17,0,17
168391324,1,-2,11,0,11
165886481,3,-2,15,0,15
163809971,3,-2,11,0,11
162257674,1,-1,21,0,21
161758557,1,-1,11,0,11
160907852,2,-1,51,0,51
158546927,4,-4,16,4,12
157285431,2,-2,29,0,29
156570804,1,-1,11,0,11
156460591,2,-2,117,0,117
156017537,2,-1,23,0,23
155495195,2,-1,10,0,10
153642738,3,-1,27,0,27
150712672,2,-2,13,0,13
148945737,2,-2,23,0,23
142566824,1,-1,12,0,12
141897967,2,-1,23,0,23
141040979,2,-1,53,0,53
135543997,1,-1,14,0,14
134600238,2,-1,10,0,10
129650821,1,-2,724,12,712
119463516,3,-2,13,0,13
116708679,3,-2,20,0,20
114459215,2,-2,27,0,27
111788060,2,-1,29,0,29
106045409,2,-2,26,0,26
102805977,2,-1,23,0,23
